title,contents,decoder_input,decoder_target
어린 송아지,송아지 엄마 엄마 엉덩이 간주 송아지 얼음 아빠 아빠 엉덩이,sostoken 어린 송아지,어린 송아지 eostoken
뚱보 아저씨,뚱보 아저씨 일곱 아들 하나 나머지 오른손 왼손 뚱보 아저씨 일곱 아들 하나 나머지 고개 엉덩이 뚱보 아저씨 일곱 아들 하나 나머지,sostoken 뚱보 아저씨,뚱보 아저씨 eostoken
귀요미송,귀귀귀 귀요미 귀귀귀 귀요미 초코 머핀 조각 고소한 우유한잔 오빠 손바닥 낙서 한눈 누구 뭐래 내꺼 내꺼 여자 섞지마 니꺼 니꺼 새끼 손가락 약속 귀요미 귀요미 귀요미 귀귀 귀요미 귀귀 귀요미 귀요미 귀요미 귀요미 귀요미 한눈 누구 뭐래 내꺼 내꺼 여자 섞지마 니꺼 니꺼 새끼 손가락 약속 하나 뽀뽀 입술 귀요미 귀요미 귀요미 귀귀 귀요미 귀귀 귀요미 귀요미 귀요미 귀요미 귀요미 한눈 누구 뭐래 내꺼 내꺼 여자 섞지마 니꺼 니꺼 새끼 손가락 약속,sostoken 귀요미송,귀요미송 eostoken
밥상,우리 아버지 아버지 우리 어머니 어머니 밥상 것들 어머니 손맛 소중 밥상 쌀밥 보리밥 조밥 콩밥 팥밥 오곡밥 된장국 배춧국 호박국 뭇국 시금칫국 시래깃국 배추김치 총각김치 열무김치 갓김치 동치미 깍두기 가지나물 호박나물 콩나물 고춧잎 무말랭이 장아찌,sostoken 밥상,밥상 eostoken
잉잉잉,고추밭 고추 고추 고추 초록 고추 댕글댕글 사과 아야아야 잉잉잉 간주 오이밭 날씬 날씬 호박 잉잉잉,sostoken 잉잉잉,잉잉잉 eostoken
둘이서 잡고,둘이 둘이 맹맹 맹맹 맹맹 둘이 둘이 돌돌 돌돌 돌돌 둘이 둘이 동동 동동 동동 둘이 둘이 빙빙 빙빙 빙빙,sostoken 둘이서 잡고,둘이서 잡고 eostoken
깡깡총 체조 유치원 하나둘셋 율동체조,쭉쭉쭉 쿵쿵쿵 엉덩이 씰룩쌜룩 이쪽저쪽 씰룩쌜룩 빙글뱅글 빙글뱅글 깡깡총 깡총 깡총 깡깡총 반복,sostoken 깡깡총 체조 유치원 하나둘셋 율동체조,깡깡총 체조 유치원 하나둘셋 율동체조 eostoken
둥글게 둥글게,손뼉 노래 랄랄랄라 링가링 링가링가링 링가링 링가링가링 손뼉 노래 랄랄랄라 반복,sostoken 둥글게 둥글게,둥글게 둥글게 eostoken
얼음과자,어름과 한개 두개 얼음과 병원 우리 엄마 얼굴 주름 반복,sostoken 얼음과자,얼음과자 eostoken
거미 거미가 줄을 타고 올라갑니다,거미 거미 해님 거미 거미 반복,sostoken 거미 거미가 줄을 타고 올라갑니다,거미 거미가 줄을 타고 올라갑니다 eostoken
도토리,때굴때굴 때굴때굴 도토리 어디 단풍잎 산골짝 때굴때굴 때굴때굴 도토리 어디 산골 종소리 간주 때굴때굴 때굴때굴 도토리 어디 다람쥐,sostoken 도토리,도토리 eostoken
노래,랄랄라 하나 랄랄라 랄랄라 랄랄라 랄랄라 다섯 랄랄라 여섯 일곱 여덟 아홉 다섯 여섯 일고여덟 아홉 반복,sostoken 노래,노래 eostoken
도깨비 빤스,도깨비 빤쓰 튼튼 튼튼 호랑 가죽 간주 도깨비 빤스 냄새 호랑 가죽 동안,sostoken 도깨비 빤스,도깨비 빤스 eostoken
우산,이슬비 아침 우산 우산 검정 우산 우산 학교 우산 이마 반복,sostoken 우산,우산 eostoken
미소,얼굴 얼굴 얼굴 얼굴 어디 미소 어디 미소 반복,sostoken 미소,미소 eostoken
구슬비,송알송알 싸리잎 은구슬 조롱조롱 거미줄 옥구슬 풀잎 꽃잎 송송송 간주 오색실 달빛 창문가 포슬포슬 구슬비 구슬 솔솔솔,sostoken 구슬비,구슬비 eostoken
꼭꼭 약속해 초등학교 학년 과정,친구 새끼손가락 약속 싸움 친구 사랑 새끼손가락 약속 새끼손가락 약속해,sostoken 꼭꼭 약속해 초등학교 학년 과정,꼭꼭 약속해 초등학교 학년 과정 eostoken
둘리,요리보고 둘리 둘리 빙하 친구 옛날 보고픈 엄마 둘리 아기공룡 호잇 호잇 둘리 초능력 친구 둘리 아기공룡 호잇 호잇 둘리 초능력 재주꾼 간주 우리 둘리 둘리 세월 둘리 친구 고향 모두 한마음 아득 엄마 우리 둘리 아기공룡 호잇 호잇 둘리 초능력 친구 둘리 아기공룡 호잇 호잇 둘리 초능력 재주꾼,sostoken 둘리,둘리 eostoken
방울새 초등학교 학년 과정,방울새 방울새 쪼로롱 방울새 간밤 고방울 어디 쪼로롱 고방울 어디 간주 방울새 방울새 쪼로롱 방울새 갈째 고방울 쪼로롱 고방울,sostoken 방울새 초등학교 학년 과정,방울새 초등학교 학년 과정 eostoken
사과 같은 얼굴,사과 얼굴 얼굴 길쭉 길쭉 길쭉 길쭉 간주 호박 얼굴,sostoken 사과 같은 얼굴,사과 같은 얼굴 eostoken
방울꽃,아무 산속 쪼로롱 방울꽃 산새들 몰래몰래 갈래 쪼로롱 소리 산바람 쪼로롱 방울 소리 산노루 울음소리 쪼로롱 방울 소리,sostoken 방울꽃,방울꽃 eostoken
맴맴,아버지 나귀 할머니 건넛마을 아저씨 고추 간주 할머니 머리 꼬불꼬불 산골길 고추 아버지 옷감 나귀 딸랑딸랑 고개 고추,sostoken 맴맴,맴맴 eostoken
퐁당퐁당,퐁당퐁당 누나 냇물아 건너편 나물 우리 누나 손등 반복 퐁당퐁당 누나 냇물아 퍼저 고운노래 한마디 들려달라 우리 누나 손등 주어라,sostoken 퐁당퐁당,퐁당퐁당 eostoken
에델바이스,에델바이스 에델바이스 아침 이슬 미소 순결 우리들 자랑 에델바이스 에델바이스 마음속 꽃이 반복,sostoken 에델바이스,에델바이스 eostoken
과수원 초등학교 학년 과정,동구 과수원 아카시아 이파리 눈송이 향긋 꽃냄새 실바람 둘이 얼굴 아카시아 옛날 과수원 반복 과수원,sostoken 과수원 초등학교 학년 과정,과수원 초등학교 학년 과정 eostoken
클레멘타인,바닷가 오막살이 아버지 철모르 사랑 사랑 사랑 클레멘타 아비 어딜 반복,sostoken 클레멘타인,클레멘타인 eostoken
봄비 창작동요제,소록소록 봄비 새싹들 얼굴 세상 어린이 봄바람 사르르르 뿌리 진달래 얼굴 개나리꽃 종달새 나비 소록소록 봄비 선녀들 무지개 세상 어린이 일곱 빛깔 웃음꽃 뿌리 반복,sostoken 봄비 창작동요제,봄비 창작동요제 eostoken
여름,바구니 도라지 누나 웬일 라라 라라 라라 바둑 간주 은하수 물결 마을 언니 라라 라라 라라 큰언니,sostoken 여름,여름 eostoken
속의 아침,짹짹 참새 세수 세수 삐약삐약 병아리 물가 다람쥐 몰래 오물오물 뒤뚱뒤뚱 물오리 소풍 간대요 토닥토닥토닥토닥 콩콩콩 첨벙첨벙첨벙첨벙 간주 물가 멋쟁이 물가 산토끼 인사 나비 노랑나비 소풍 간대요 뒹굴뒹굴뒹굴뒹굴 콩콩콩 하나,sostoken 속의 아침,속의 아침 eostoken
통통통통,통통통통 털보 영감님 통통통통 혹부리 영감님 통통통통 코주부 영감님 통통통통 안경 영감님 통통통통 팔랑팔랑 팔랑팔랑 무릎 간주 무릎 레레레레 배꼽 미미미미 가슴 파파파파 어깨 솔솔솔솔 머리 팔랑팔랑 팔랑팔랑 무릎,sostoken 통통통통,통통통통 eostoken
꼬마 인디언,꼬마 꼬마 꼬마 인디언 꼬마 다섯 꼬마 여섯 꼬마 인디언 일곱 꼬마 여덟 꼬마 아홉 꼬마 인디언 꼬마 인디언 간주 꼬마 아홉 꼬마 여덟 꼬마 인디언 일곱 꼬마 여섯 꼬마 다섯 꼬마 인디언 꼬마 꼬마 꼬마 인디언 꼬마 인디언 보이,sostoken 꼬마 인디언,꼬마 인디언 eostoken
꽃밭에서,아빠 꽃밭 채송화 봉숭아 한창 아빠 새끼줄 나팔꽃 간주 뛰어놀다 아빠 아빠 꽃보,sostoken 꽃밭에서,꽃밭에서 eostoken
달맞이,아가 달맞이 앵두 검둥개 냇가 물결 남실남실 어깨 머리 수양버들 거문고 달밤 소금쟁 간주 아가 냇가 달밤 딸각딸각 나막신 도랑물 쫄랑쫄랑 달맞이,sostoken 달맞이,달맞이 eostoken
바람새 창작동요제,바람새 풀밭 나래깃 바람새 동동동동 비눗방울 하늘 어느샌 간주 바람새 풀밭 나래깃 바람새 동동동동 풍선 하늘 어느샌 두리둥실,sostoken 바람새 창작동요제,바람새 창작동요제 eostoken
그림 그리고 싶은 창작동요대회,종이 아빠 얼굴 종이 엄마 얼굴 고생 부모님 사랑 간주 종이 학교 교정 종이 선생님 얼굴 선생님 고마움,sostoken 그림 그리고 싶은 창작동요대회,그림 그리고 싶은 창작동요대회 eostoken
아기 초등학교 학년 과정,엄마 그늘 아기 바다 자장노래 스르르르 간주 아기 갈매기 울음소리 바구니 머리 엄마 모랫길,sostoken 아기 초등학교 학년 과정,아기 초등학교 학년 과정 eostoken
나뭇잎배 초등학교 학년 과정,나뭇잎배 엄마 생각 구름 연못 간주 연못 나뭇잎배 엄마 생각 갈잎 혼자,sostoken 나뭇잎배 초등학교 학년 과정,나뭇잎배 초등학교 학년 과정 eostoken
스승의 은혜,스승 은혜 하늘 스승 마음 어버이 스승 사랑 보답하리 스승 은혜 태산 스승 사랑 스승 은혜 어디간들 언제 잊사오리까 마음 스승 은혜 스승 사랑 보답하리 스승 은혜 간주 바다 스승 사랑 하나 살아생전 교훈 마음 겨레 스승 사랑 보답하리 스승 은혜,sostoken 스승의 은혜,스승의 은혜 eostoken
여름 냇가 창작동요제,하늘 요술 도화지 솜털 구름 바퀴 물고기 냇가 그늘 여름 엄마 소리 따뜻한 욜랑욜랑 바람 겨드랑이 간질어피 누나 학교 풍금 소리 낮잠 반복,sostoken 여름 냇가 창작동요제,여름 냇가 창작동요제 eostoken
나무를 심자,하늘 누가누 하늘 누가누 내기 내기 나무 나무 파레라 요룰레 요룰레 요룰레 요룰레 요룰레 요룰레 요룰레 요룰레 간주 누가누 누가누 내기 내기 나무 나무 파레라 요룰레 요룰레 요룰레 요룰레 요룰레 요룰레 요룰레 요룰레,sostoken 나무를 심자,나무를 심자 eostoken
종이접기 창작동요제,색종이 색칠 오색실 꼬리 비행기 뒷동산 동네 친구 하늘 하늘 간주 도화지 색연필 색칠 노랑 파랑 은행잎 돛대 종이배 시냇가 동네 친구 시냇물 동해바다,sostoken 종이접기 창작동요제,종이접기 창작동요제 eostoken
초록 바다 초등학교 학년 과정,초록빛 바닷물 초록빛 바닷물 하늘빛 초록빛 초록빛 여울물 초록빛 두발 물결 물결 반복,sostoken 초록 바다 초등학교 학년 과정,초록 바다 초등학교 학년 과정 eostoken
나팔 불어요 초등학교 학년 과정,해님 아침 나팔꽃 아가씨 나팔 잠꾸러기 나팔꽃 또또따따 나팔 나팔꽃 아가씨 늦잠 아침 나팔 잠꾸러기 나팔꽃 또또 따따 나팔 반복,sostoken 나팔 불어요 초등학교 학년 과정,나팔 불어요 초등학교 학년 과정 eostoken
뽀뽀뽀,아빠 출근 뽀뽀뽀 엄마 뽀뽀뽀 뽀뽀뽀 뽀뽀뽀 우리 귀염둥이 뽀뽀뽀 친구 뽀뽀뽀 뽀뽀뽀 뽀뽀뽀 친구 반복,sostoken 뽀뽀뽀,뽀뽀뽀 eostoken
훌랄라 폴카,손목 훌랄라랄라 훌랄라랄라 훌랄라랄라 랄랄라 간주 동산 해님 숲속 훌랄라랄라 훌랄라랄라 훌랄라랄라 랄랄라,sostoken 훌랄라 폴카,훌랄라 폴카 eostoken
허수아비 아저씨 초등학교 학년 과정,하루 허수아비 아저씨 아이 하루 허수아비 아저씨 간주 하루 허수아비 아저씨 조심 모자 하루 허수아비 아저씨,sostoken 허수아비 아저씨 초등학교 학년 과정,허수아비 아저씨 초등학교 학년 과정 eostoken
연날리기 창작동요제,에헤 에헤야 하늘 무지개 하늘 꼬리 친구 에헤 에헤야 우리 반복,sostoken 연날리기 창작동요제,연날리기 창작동요제 eostoken
구름 초등학교 학년 과정,미루나무 꼭대기 조각구름 솔바람 간주 뭉게구름 구름 마음씨 솔바람 어디 간대요,sostoken 구름 초등학교 학년 과정,구름 초등학교 학년 과정 eostoken
종이배,시냇물 종이배 냇물 마음 종이배 마음 바위 사이 시냇물 종이배 냇물 마음,sostoken 종이배,종이배 eostoken
가보고 싶다 창작동요제,진달래 동산 모습 낙동강 강가 압록강 두만강 햇볕 여름날 송사리 깜둥이 간주 단풍잎 언덕 동화책 모습 한라산 설악산 백두산 금강산 노래,sostoken 가보고 싶다 창작동요제,가보고 싶다 창작동요제 eostoken
소낙비 친구 창작동요제,개나리 수업 종소리 소낙비 친구들 엄마 마음 운동장 웃음 우산 친구 소낙비 친구 반복,sostoken 소낙비 친구 창작동요제,소낙비 친구 창작동요제 eostoken
바람개비 창작동요제,색종이 무지갯빛 색칠 바람개비 빙그르르 빙그르르 골목길 빙그르 무지갯빛 날개 우리 간주 색종이 오색나비 색칠 바람개비 빙그르르 빙그르르 빙그르 오색빛깔 날개 우리,sostoken 바람개비 창작동요제,바람개비 창작동요제 eostoken
종달새의 하루,하늘 보리밭 종달새 비비배배 거리 오르락 내리락 오르락 내리락하다 하루해 간주 하늘 비비배배 거리 오르락 내리락 오르락 내리락하다 하루해,sostoken 종달새의 하루,종달새의 하루 eostoken
가끔은 초등학교 학년 과정,하늘 마음 미소 하늘 날갯짓 연두 빛깔 잎새들 하늘 간주 오솔길 마음 휘파람 마음 산길 풀내음 냇물 소리 방울새 노래 솔바람 소리 하늘 오솔길 마음 노래,sostoken 가끔은 초등학교 학년 과정,가끔은 초등학교 학년 과정 eostoken
아이들이 그리는 세상 창작동요대회,도화지 어른들 세상 도화지 진심 사랑 무지개 세상 반복,sostoken 아이들이 그리는 세상 창작동요대회,아이들이 그리는 세상 창작동요대회 eostoken
바닷가에서,해당화 바닷가 수평선 갈매기 한두 물결 잔잔한 바닷가 간주 저녁놀 바닷가 조개 수평선 바닷물 꽃무늬 모래 바닷가,sostoken 바닷가에서,바닷가에서 eostoken
산딸기,잎새 산딸기 나그네 잎새 몰래몰래 산딸기 탐스러운 산딸기 반복,sostoken 산딸기,산딸기 eostoken
자장가,우리 아가 앞뜰 뒷동산 아가 다들 영창 은구슬 금구슬 우리 아가 간주 누리 선반 생쥐 다들 뒷방 이야기 적막 우리 아가,sostoken 자장가,자장가 eostoken
고향 생각,사람 동무 저일 생각 눈물 간주 고향 하늘 마음 서쪽 단잠 어찌해,sostoken 고향 생각,고향 생각 eostoken
소풍 초등학교 학년 과정,시원 바람 우리 하늘 우리 산골짝 시냇물 노래 하늘 우리 노래,sostoken 소풍 초등학교 학년 과정,소풍 초등학교 학년 과정 eostoken
화가 창작동요제,공원 턱수염 아저씨 나비 모습 랄랄랄랄랄라 랄랄랄랄랄라 콧노래 동심 반복,sostoken 화가 창작동요제,화가 창작동요제 eostoken
기차를 타고 창작동요대회,산새 물새 세상 간주 따뜻한 마음 사람 이웃 즐거움 세상,sostoken 기차를 타고 창작동요대회,기차를 타고 창작동요대회 eostoken
이렇게 살아가래요 창작동요제,나비 꽃밭 산새 숲속 그윽 향기 뿌리 방긋 웃음 나비 꽃밭 산새 숲속 랄랄라라 랄라 랄랄라라 랄라 랄라 랄랄라랄랄라라라 반복,sostoken 이렇게 살아가래요 창작동요제,이렇게 살아가래요 창작동요제 eostoken
닮았대요,엄마 손목 사람 엄마 닮았대 머루눈 닮았대 볼우물 엄마 닮았대 간주 아빠 손목 사람 아빠 닮았대 닮았대 곱슬곱슬 머리 아빠 닮았대 엄마 손목 사람 엄마 닮았대 머루눈 닮았대 볼우물 엄마 닮았대,sostoken 닮았대요,닮았대요 eostoken
참새,아침 이슬 촉촉 잎사귀 처마 참새들 랄라 랄라 랄라 랄라 랄라 랄라 랄라라 여름 아침 반복,sostoken 참새,참새 eostoken
정말 잘한다,짝짜꿍 짝짜꿍 엄마 짝짜꿍 짝짜꿍 짝짜꿍 아빠 짝짜꿍 우리 아기 우리 아기 짝짜꿍 짝짜꿍 간주 짝짜꿍 짝짜꿍 언니 짝짜꿍 짝짜꿍 짝짜꿍 오빠 짝짜꿍 우리 아기 우리 아기 짝짜꿍 짝짜꿍,sostoken 정말 잘한다,정말 잘한다 eostoken
복남이네 어린아이,복남이네 어린아이 엣취 복남이네 어린아이 엣취 복남이네 어린아이 위로 반복,sostoken 복남이네 어린아이,복남이네 어린아이 eostoken
설날,까치까치 설날 어저께 우리 우리 설날 오늘 댕기 신발 간주 우리 언니 저고리 노랑 저고리 우리 동생 저고리 색동저고리 아버지 어머니 호사하시 우리들,sostoken 설날,설날 eostoken
오른발 왼발,왼발 오른발 왼발 오른발 왼발 오른발 왼발 오른발 악수 인사 반복,sostoken 오른발 왼발,오른발 왼발 eostoken
공놀이 초등학교 학년 과정,하나 노래 다섯 여섯 일고여덟 우리들 공놀이 간주 하나 다섯 여섯 일고여덟 우리들 공놀이,sostoken 공놀이 초등학교 학년 과정,공놀이 초등학교 학년 과정 eostoken
앉은뱅이꽃,보라빛 고운빛 우리 문패 앉은뱅이 반복,sostoken 앉은뱅이꽃,앉은뱅이꽃 eostoken
자전거 초등학교 학년 과정,자전거 따르르릉 사람 조심 큰일 간주 자전거 아버지 꼬부랑 꼬부랑 고개 비탈길 주르르르 반복,sostoken 자전거 초등학교 학년 과정,자전거 초등학교 학년 과정 eostoken
코끼리와 거미줄,마리 코끼리 거미줄 그네 탔다네 재미 랄랄라 친구 코끼리 마리 코끼리 거미줄 그네 탔다네 재미 랄랄라 친구 코끼리 마리 코끼리 거미줄 그네 탔다네 재미 랄랄라 친구 코끼리 마리 코끼리 거미줄 그네 탔다네 재미 랄랄라 친구 코끼리 다섯 마리 코끼리 거미줄 그네 탔다네 코끼리 올라올라 랄랄라,sostoken 코끼리와 거미줄,코끼리와 거미줄 eostoken
고기잡이 초등학교 학년 과정,바다 가지 라라라 라라라 온다 선생님 우리 우리 라라라 라라라 간다 간주 솨솨솨 쉬쉬쉬 선생님 온다 라라라라 라라라라 굿바,sostoken 고기잡이 초등학교 학년 과정,고기잡이 초등학교 학년 과정 eostoken
아빠의 얼굴,어젯밤 꿈속 날개 구름 무지개 동산 아빠 얼굴 무지개 동산 아빠 얼굴 간주 어린이 동산 아빠 얼굴 어린이 동산 아빠 얼굴,sostoken 아빠의 얼굴,아빠의 얼굴 eostoken
따오기 초등학교 학년 과정,따옥 따옥 따옥 소리 처량 소리 어디메이뇨 어머니 간주 따옥 따옥 따옥 소리 처량 소리 어디메이뇨 아버지 나라,sostoken 따오기 초등학교 학년 과정,따오기 초등학교 학년 과정 eostoken
아리랑 초등학교 학년 과정,아리랑 아리랑 아라리요 아리랑 고개 십리 발병 반복,sostoken 아리랑 초등학교 학년 과정,아리랑 초등학교 학년 과정 eostoken
섬마을 창작동요제,노을 섬마을 물결 갈매기 고깃배 오색실 뚜뚜뚜 고동 소리 에헤 에헤 에헤 에헤야 에헤 에헤 에헤 에헤야 반복,sostoken 섬마을 창작동요제,섬마을 창작동요제 eostoken
메기의추억,옛날 금잔디 동산 물레방아소리 사랑 메기 동산수풀 우거지 장미화 만발 물레방아 소리 사랑 메기 반복,sostoken 메기의추억,메기의추억 eostoken
오빠 생각 초등학교 학년 과정,뜸뿍 뜸뿍 뜸뿍새 뻐꾹 뻐꾹 뻐꾹새 울재 우리 오빠 서울 구두 오신다더 간주 기럭기럭 기러기 귀뚤귀뚤 귀뚜라미 서울 오빠 소식 나뭇잎,sostoken 오빠 생각 초등학교 학년 과정,오빠 생각 초등학교 학년 과정 eostoken
아빠 사랑해요 창작동요제,밤하늘 별빛 생각 따스한 손길 눈빛 사랑하시 마음 밤하늘 별빛 이젠 아빠 마음 아빠 사랑,sostoken 아빠 사랑해요 창작동요제,아빠 사랑해요 창작동요제 eostoken
산마루에서 창작동요제,산마루 야하호 나무들 야하호 새소리 물소리 골짜기 깃발 산마루 야하호 나무들 야하호 반복,sostoken 산마루에서 창작동요제,산마루에서 창작동요제 eostoken
푸르다,허리 구름 토끼 구름 나비 구름 딸랑딸랑 구름 마차 간주 그늘아래 서늘 어깨동무 내동무들 매앰매앰 매미소리,sostoken 푸르다,푸르다 eostoken
시장잔치,수박 수박 시원 수박 참외 참외 참외 꿀맛 내일 내일 간주 호박 호박 호박 오이 날씬 오이 멋쟁이 내일 내일 다떨어,sostoken 시장잔치,시장잔치 eostoken
동네 바퀴 초등학교 학년 과정,동네 바퀴 아침 동네 바퀴 우리 나팔꽃 인사 우리 인사 동네 바퀴 바둑 동네 바퀴 반복,sostoken 동네 바퀴 초등학교 학년 과정,동네 바퀴 초등학교 학년 과정 eostoken
햇볕은 쨍쨍 초등학교 학년 과정,햇볕 모래알 모래알 떡해 조약돌 소반 언니 누나 냠냠 햇볕 모래알 호미 괭이 엄마 아빠 냠냠 반복,sostoken 햇볕은 쨍쨍 초등학교 학년 과정,햇볕은 쨍쨍 초등학교 학년 과정 eostoken
강아지 초등학교 학년 과정,우리 강아지 강아지 어머니 빨래 멍멍멍 멍멍멍 간주 우리 강아지 강아지 학교 멍멍멍 꼬리 멍멍멍,sostoken 강아지 초등학교 학년 과정,강아지 초등학교 학년 과정 eostoken
아름다운 베르네 산골,베르네 시냇물 넘쳐흐르네 알핀로제스 이슬 다스 오버 렌야 오버랜 베르네산골 다스 오버 렌야 오버렌 사랑 베르네 후디리리요 후디리리 후디리리요 후디리리 후디리리요 후디리리 후디리리요 후디리리 간주 베르네 시냇물 에델바이스 청초 다스 오버 렌야 오버랜 베르네산골 다스 오버 렌야 오버렌 사랑 베르네 후디리리요 후디리리 후디리리요 후디리리 후디리리요 후디리리 후디리리요 후디,sostoken 아름다운 베르네 산골,아름다운 베르네 산골 eostoken
동물흉내,오리 오리 염소 음매 염소 음매 음매 음매 반복,sostoken 동물흉내,동물흉내 eostoken
돌다리,누구 누구 돌다리 징검다리 간주 언제 돌다리 바둑 징검다리,sostoken 돌다리,돌다리 eostoken
안마를 합시다,좜좜좜좜 찌개찌게찌 좜좜좜좜 찌게찌게찌 어깨춤 앞사람 안마합 쿵쿵쿵쿵 살살살살 쿵쿵쿵쿵쿵 쿵쿵쿵쿵 살살살살 반복,sostoken 안마를 합시다,안마를 합시다 eostoken
고드름,고드름 고드름 수정 고드름 고드름 각시 영창 각시님 각시님 안녕 햇님 문안 오시 간주 고드름 고드름 각시님 방안 드실라,sostoken 고드름,고드름 eostoken
태극기,태극기 하늘 간주 태극기 마을 집집,sostoken 태극기,태극기 eostoken
금강산 초등학교 학년 과정,금강산 일만이천 신기하구 이름 금강 금강 간주 금강산 폭포 옛이야 이름 찬란 금강 금강,sostoken 금강산 초등학교 학년 과정,금강산 초등학교 학년 과정 eostoken
꼬마 눈사람,한겨울 밀짚모자 꼬마 눈사람 눈썹 거울 꼬마 눈사람 하루종일 꼬마 눈사람 무엇 생각 꼬마 눈사람 반복,sostoken 꼬마 눈사람,꼬마 눈사람 eostoken
모두 뛰놀자 초등학교 학년 과정,모두 홉홉홉 모두 훨훨훨 모두 동동동 모두 빙빙빙 모두 홉홉홉 모두 훨훨훨 모두 동동동 모두 빙빙빙,sostoken 모두 뛰놀자 초등학교 학년 과정,모두 뛰놀자 초등학교 학년 과정 eostoken
가위 바위,아침 찬바람 기러기 우리 선생 엽서 구리구리 멍텅구리 가위 바위 반복,sostoken 가위 바위,가위 바위 eostoken
우리 모두 같이,우리 손뼉 우리 손뼉 우리 우리 손뼉 우리 우리 우리 우리 간주 우리 인사 안녕 우리 인사 안녕 우리 우리 인사 안녕하세요,sostoken 우리 모두 같이,우리 모두 같이 eostoken
나의 하루,아침 햇빛 아침 하루 생각 학교 동무들 공부 심부름 간주 저녁노을 하루 얘기 아빠 엄마 집안 공부 예습,sostoken 나의 하루,나의 하루 eostoken
할미꽃,뒷동산 할미꽃 할미꽃 할미꽃 할미꽃 우섭다 할미꽃 아지랑이 간주 뒷동산 할미꽃 할미꽃 할미꽃 할미꽃,sostoken 할미꽃,할미꽃 eostoken
내가 제일 좋아하는 창작동요제,몇천 어머니 어머니 얼굴 사랑 몇천 어머니 어머니 반복,sostoken 내가 제일 좋아하는 창작동요제,내가 제일 좋아하는 창작동요제 eostoken
귀뚜라미 우는,귀뚜라미 또르르 달밤 동무 동무 그곳 지금 귀뚜리 간주 귀뚜라미 또르르 달밤 동무 지난날 동무 지금 생각 있을까,sostoken 귀뚜라미 우는,귀뚜라미 우는 eostoken
할아버지 시계,마루 시계 우리 할아버지 시계 할아버지 아침 시계란다 시계 할아버지 옛날 시계 이젠 가지 동안 쉬잖고 똑딱똑딱 할아버지 똑딱똑딱 이젠 가지 반복,sostoken 할아버지 시계,할아버지 시계 eostoken
고향 초등학교 학년 과정,고향 여기 하늘 끝닿 저기 거긴 아카시아 고향 뻐꾹새 간주 고개 너머 고개 아득 고향 저녁 저기 거긴 논길 휘파람 아이들,sostoken 고향 초등학교 학년 과정,고향 초등학교 학년 과정 eostoken
가을,단풍잎 동화책 갈피 은행잎 그림책 갈피 간주 라시도레미파미 레도시라솔라시 라시도레미파미레 도시라,sostoken 가을,가을 eostoken
봄을 그리는 색연필 창작동요대회,남청 색연필 하늘 하양 초록 색연필 정성 토끼 구름 솜구름 골짜기 냇물 보리밭 물결 도화지 종달새 간주 초록 연두 색연필 나뭇가지 노랑 분홍 색연필 정성 새싹들 하르르 살구꽃 진달래꽃 꽃다지 민들레꽃 도화지 노랑나비,sostoken 봄을 그리는 색연필 창작동요대회,봄을 그리는 색연필 창작동요대회 eostoken
수건 돌리기 창작동요제,하늘 잔디밭 모여앉아서 수건돌리기 랄랄라 누가누 술래 가위 바위 술래 우리 손뼉 노래 하늘 소리 노래 간주 시냇물 구름 모래밭 수건돌리기 랄랄라 누가누 술래 가위 바위 술래 누구 수철이 노래 손뼉,sostoken 수건 돌리기 창작동요제,수건 돌리기 창작동요제 eostoken
속을 걸어요 창작동요제,산새들 꽃향기 그윽 해님 다람쥐 얼굴 우리 숲속 간주 솔바람 도랑물 산노루 웃음 얼굴 우리,sostoken 속을 걸어요 창작동요제,속을 걸어요 창작동요제 eostoken
푸른 잔디,냄새 잔디 하늘 구름 가슴 노래 간주 우리들 노랫소리 하늘 구름 노래,sostoken 푸른 잔디,푸른 잔디 eostoken
구름 초등학교 학년 과정,하늘 구름 외양간 송아지 음메 음메 어머니 얼굴 고향 구름 간주 하늘 구름 뒤뜰 봉선화 고향 구름,sostoken 구름 초등학교 학년 과정,구름 초등학교 학년 과정 eostoken
꽃동산 초등학교 학년 과정,꽃동산 우리 고장 오늘 동산 일꾼 반복,sostoken 꽃동산 초등학교 학년 과정,꽃동산 초등학교 학년 과정 eostoken
앞으로 초등학교 학년 과정,지구 세상 어린이 세상 어린이 소리 달나라 반복,sostoken 앞으로 초등학교 학년 과정,앞으로 초등학교 학년 과정 eostoken
기린이랑 사슴이랑,기린 사슴 숨바꼭질 재밌다 바위 나무 사슴뿔 반복,sostoken 기린이랑 사슴이랑,기린이랑 사슴이랑 eostoken
파란 하늘 초등학교 학년 과정,하늘 하늘 흰구름 우리들 하늘 하늘 흰구름 우리 반복,sostoken 파란 하늘 초등학교 학년 과정,파란 하늘 초등학교 학년 과정 eostoken
푸른 꿈을 키워가요 창작동요제,날개 하늘 세상 망망한 바다 우리 희망 숲속 기상 마음 하늘 새싹들 간주 가슴속 세계 마음 가득 가슴속 사랑 미소 얼굴 평화 마음 하늘 새싹들,sostoken 푸른 꿈을 키워가요 창작동요제,푸른 꿈을 키워가요 창작동요제 eostoken
