,title,contents,decoder_input,decoder_target
113,아이폰 고급화 인식에 가장 역할을 했던 주범,추노 마크 디자인 감성을 단번에 시궁창에 처박아 버리는 통신사 추노 마크 통신사 기본앱 이게 라고 사람은 비교적 젊은 사람일 왜냐면 전에는 저것들 삭제하고 싶어도 삭제를 수가 없었으니까 백그라운드에서 오지게 처먹어서 빡침 올라오게 만드는 주범 근데 당시 아이폰은 저런 너덜너덜한 추모 마크도 불필요하게 끼여지는 기본 앱도 없었음 이게 아이폰은 비싸고 왠지 예쁘고 고급 지다는 인식이 대중에게 각인되는데 기여를,sostoken 아이폰 고급화 인식에 가장 역할을 했던 주범,아이폰 고급화 인식에 가장 역할을 했던 주범 eostoken
114,역대급 대규모 정모,손정민 친구 변호인측이 수만명 고소 예정 역대급 정모 예정 방구석 코난들 이제 살아남기위한 추리중,sostoken 역대급 대규모 정모,역대급 대규모 정모 eostoken
115,어느 학생이 만든 로봇이 경연대회에서 실격한 이유,사람에 혐오스러울수 있으니 주의 파라과이 학생이 로봇 챔피언십에서 자신이 생산 사이보그 치킨을 선보였지만 실격되었습니다 대회측 이건 로봇대회지 강령술대회가 아니야,sostoken 어느 학생이 만든 로봇이 경연대회에서 실격한 이유,어느 학생이 만든 로봇이 경연대회에서 실격한 이유 eostoken
116,롯데리아 백신 할인 후기,이거 먹으려고 부랴 부랴 롯데리아 갔는 롯데리아는 대상 지점 아니래 문정동 로데오거리 롯데리아 가기전에 확인 하고 가라 배고픈 내자신이 한심하니 유머,sostoken 롯데리아 백신 할인 후기,롯데리아 백신 할인 후기 eostoken
117,수상할 정도로 한국을 좋아하는 나라,외교적으로 남한 전통의 우방국이긴 솔직히 현대 한국이 영국에게 도움준건 별로 없긴함 영국은 한국에게는 매우 우호적으로 외교적으로나 군사적으로나 도움을 많이줌 무기개발에 있어서도 합작 많이 하려고 시도하는중 이스라엘 북한 개짓거리할때마다 공개적으로 비방때려주고 독도표기 꼬박꼬박해주는 한국에 매우 우호적인나라 하는짓땜에 부담스러운 우방국,sostoken 수상할 정도로 한국을 좋아하는 나라,수상할 정도로 한국을 좋아하는 나라 eostoken
118,국내에서 가장 끔찍한 성차별을 받는 직업,광부 하다못해 군대도 여자를 받는데 여자 광부는 법적으로 금지됨 여성계는 하루빨리 시대에 안맞는 법을 이슈화하고 철폐하는 움직임을 보일,sostoken 국내에서 가장 끔찍한 성차별을 받는 직업,국내에서 가장 끔찍한 성차별을 받는 직업 eostoken
119,성장한 딸이 점점 아내와 닮아가는걸 느낀 숫사자의 반응,분명히 어릴때는 얌전히 다가와서 안기기만하던 딸내미가 반년만에 마누라마냥 달려드는 폭주기관차가 되자 화들짝 놀라면서 피하는 모습이다,sostoken 성장한 딸이 점점 아내와 닮아가는걸 느낀 숫사자의 반응,성장한 딸이 점점 아내와 닮아가는걸 느낀 숫사자의 반응 eostoken
120,한국에서 쓰이던 용어들 중에서 가장 현실 실생활과 동떨어져 있던 용어,년대부터 도입된 야간자율학습 야간에도 학교에서 보충 학습으로 공부를 원하는 학생들을 사교육을 줄이기 위한 취지로 도입된 학습 시스템이었음 야간자율학습이 도입된 이후의 실태를 보충 자율 학습과는 전혀 거리가 멀었고 사교육도 줄이지 못했지 년대 년대에 고등학교를 다녔던 인터넷 커뮤니티에 글과 댓글로 올라온 사람들의 경험담에 의하면 야자를 몰래 일과 그로 인해서 학생 주임 교사에게 몽둥이 찜질 빠따를 맞았다는 얘기들이 정말 많았었지 말이 좋아서 자율 학습이지 강제적으로 강요되는 학습이었다는 것이고 당시에 고등학교를 다니던 세대들은 시까지 야자라는 이름의 강제 보충 학습을 것은 아주 기본이었고 학원까지 다니는 경우가 많았기 시에 야자가 끝나고 학원 차를 타고 곧바로 학원에 집에 돌아오면 귀가 시간이 새벽 시를 넘기는 일이 다반사이고 부지기수였음 게다가 교시까지 있었기 아침 시까지는 학교에 와야 했고 실제로 시간은 고사하고 시간만 수면을 취하는 것도 감지덕지였기 잠이 부족해서 피곤에 찌들어 있는 모습이 야자와 교시를 병행하던 당시의 고등학생들에게는 아주 일상이었지 결과가 것들이었고 년대 이후에는 무조건적으로 야자를 강제 강요하지 말고 학생의 자율에 맡기라는 교육부의 방침도 있었지만은 아직도 이게 속시원히 해결되었느냐고 묻는다면 않을 거임 사립 학교에서는 강제성을 띠는 야자가 남아있을 것이고,sostoken 한국에서 쓰이던 용어들 중에서 가장 현실 실생활과 동떨어져 있던 용어,한국에서 쓰이던 용어들 중에서 가장 현실 실생활과 동떨어져 있던 용어 eostoken
121,일본인들은 먹지않는 과일,참외 일본어로는 마쿠와우리라고 하는데 멜론의 변종인 참외의 변종명 여기서 따왔다고 참외를 요즘 일본에서는 재배지도 소수고 먹는사람도 적으며 참외를 깎는 방법도 모르는사람이 대다수라 참외를 파는곳에서 참외먹는법을 적어두는곳도 있다고 사실 일본에서도 년대 초까지는 참외를 많이 먹었는데 년대에 멜론과 참외를 교배한 프린스멜론이 이전에 재배된 멜론에 비해 싼값에 팔리면서 참외가 찬밥 신세가 되었고 이후로 참외 재배 농가도 멜론 재배로 전환을 참외가 자취를 감추게 되었다고 한다 고전문학이나 시집등을 자주나오는 개구리참외 우리가 흔히 아는 노란참외는 년대 일본에서 들여온 은천 품종임 이전까지는 수박과 비슷하게 생긴 개구리 참외 먹었다 한국에서 주력으로 수출및 소비하는 참외는 일본품종 이었지만 실제로 마트직원에게 참외에 물어보면 차메라는 한국에서 수입한 과일이라고 설명해준다는 썰이 참고로 일본에서 참외는 개당 천원 천원까지 더럽게 비싸고 맛도 없는 과일이다 멜론이 만원 정도인걸 안먹는 이유가 있는셈,sostoken 일본인들은 먹지않는 과일,일본인들은 먹지않는 과일 eostoken
122,프랑스의 천재 과학자가 사형당한 이유,별건 양반이 도시 외곽에다가 벽을 지어서 통행세를 걷었는데 통상 통행료의 수준을 걷어다는,sostoken 프랑스의 천재 과학자가 사형당한 이유,프랑스의 천재 과학자가 사형당한 이유 eostoken
123,철권 한일전 무릎 콤보 해외 반응,한일전 대회중에 초동안 때리는 벽꽝 콤보박는 무릎 대충 할말을 잃었다는 내용,sostoken 철권 한일전 무릎 콤보 해외 반응,철권 한일전 무릎 콤보 해외 반응 eostoken
124,윈도우 달라,아르헨티나의 단위는 달러랑 비슷하게 생긴 페소 이다 게다가 아르헨티나는 우리랑 쓰는 방법이 반대다 이라는것은 사실 인셈 달라에 낼름 먹으려고 했던 뽐거지는 한국의 두배가격을 내고 샀다고 한다,sostoken 윈도우 달라,윈도우 달라 eostoken
125,매드맥스가 신기한 영화인 이유,평론가 대박 일반관객 대박 모두의 평가가 대박이었던 영화 사방에서 입소문도 타고 유행어도 수두룩하게 만들어냄 극장 수익으로 손익 분기점 넘음,sostoken 매드맥스가 신기한 영화인 이유,매드맥스가 신기한 영화인 이유 eostoken
126,안녕하세요 역대급 게스트,근데 제보자분 김수현 닮으셨다 사실 진짜 김수현이고 해당장면은 드라마 프로듀사 장면임,sostoken 안녕하세요 역대급 게스트,안녕하세요 역대급 게스트 eostoken
127,세종이 즐겨드신 조선식 프라이드 치킨,가끔씩 조선시대에 치킨을 퍼뜨려 사람들을 감동시킨다는 대체역사소설 같은게 있었는데 이미 닭요리 해먹고 있었지,sostoken 세종이 즐겨드신 조선식 프라이드 치킨,세종이 즐겨드신 조선식 프라이드 치킨 eostoken
128,한국에 있는 위대한 항로 실사판,백두산에 있는 압록강 두만강 송화강 백두산같이 엄청 높은 레드라인을 넘어가야 황해 동해 오호츠크해로 있음,sostoken 한국에 있는 위대한 항로 실사판,한국에 있는 위대한 항로 실사판 eostoken
129,배틀필드 이번에나오는 한국맵의 실제 지리는 어떨까,이번 배틀필드 신작의 신맵 칼레이도 스코프의 위치는 인천 송도이고 정확히는 송도 센트럴파크가 모티브인것으로 보임 실제 송도 센트럴파크의 전경은 대충 이러하다 현실에서 센트럴파크 한가운데에 서있는 타워와 동그라미친 인겜 오브젝트의 모티브가된 건물은 위치상 실제로 송도의 랜드마크중 하나인 송도 포스코 타워로 추정된다 인게임에서 차지해야하는 목표인 인터넷 허브 터미널 센터가 여기있을 확률이 매우높음 상하이처럼 기믹이될수도 있고 참고로 크기는 가장 작은 사이즈라고함,sostoken 배틀필드 이번에나오는 한국맵의 실제 지리는 어떨까,배틀필드 이번에나오는 한국맵의 실제 지리는 어떨까 eostoken
130,악플러들 때문에 빡친 박지성 와이프 김민지,박지성 부부는 현재 런던에 거주해서 유상철 조문을 못가는데 그거 가지고 악플러들이 와이프인 김민지 유튜브 채널에 악플 달음 추가 논란때문에 이걸 해명까지 해야함,sostoken 악플러들 때문에 빡친 박지성 와이프 김민지,악플러들 때문에 빡친 박지성 와이프 김민지 eostoken
131,강력한 마검을 주운 주인공의 만행,인생은 실전이야 만아 천방지축 모험왕 현재까지 애니메이션 주인공에서 손꼽히는 막장 인성을 가지고 있다고 한다,sostoken 강력한 마검을 주운 주인공의 만행,강력한 마검을 주운 주인공의 만행 eostoken
132,문제 없을거라 생각했던 이름 변경,역의 원래 이름은 용원역 년에 이름을 신창원역으로 바꿀 때만 별일 없을거라 생각했다,sostoken 문제 없을거라 생각했던 이름 변경,문제 없을거라 생각했던 이름 변경 eostoken
133,세트에 멘탈터진 맥날 알바들,일평균 대비 너겟 판매량 급증함 멘탈 씨게 터져나가는 알바들 이번주 맥도날드 어플 쿠폰 핫하 죽어라,sostoken 세트에 멘탈터진 맥날 알바들,세트에 멘탈터진 맥날 알바들 eostoken
134,조금씩 변하는 남녀화장실 근황,근데 저렇게 화장실을 표시하면 비영어권 사람 또는 한국어를 모르는 사람에 대한 차별 아니냐 픽토그램이 있는 이유가 있는건데,sostoken 조금씩 변하는 남녀화장실 근황,조금씩 변하는 남녀화장실 근황 eostoken
135,논란중인 파워퍼프걸 대본 유출,버블 나도 한번 걸레 처럼 살고 싶어 실제 대사 버터컵이 레즈비언 하다 자매들에게 들키는 장면 존재 버블 유토니옴 교수 당신을 우릴 카툰 네트워크에 노예상 이야 우린그걸 계속 참고 있었어 원작 애니는 화이트 워싱 이아 현재 제작사인 각본대로 쓰인 파일럿 에피소드를 보고 제작중단을 선언했으며 배우진과 각본진은 그대로 유지하며 새롭게 제작 현재 유출된 대본은 기존 파일럿 에피 대본이며 팬들은 상당히 부정적인 반응이 대다수 출처 익무,sostoken 논란중인 파워퍼프걸 대본 유출,논란중인 파워퍼프걸 대본 유출 eostoken
136,인간이 난교 하도록 진화했다는 증거,남성의 성기 모양이 난소 안에 있는 정자를 끄집어내기 위함이라는 인간과 보노보만이 성교할 얼굴을 마주본다 짐승같은 성교는 후배위라는 개가 제일 신선하네,sostoken 인간이 난교 하도록 진화했다는 증거,인간이 난교 하도록 진화했다는 증거 eostoken
137,영국 총리가 인기 많은 이유,군대에 있으면 주임 원사 같고 관저에 있으면 총리 같고 길거리 있으면 부랑자 같고 어울리는 핵인싸임,sostoken 영국 총리가 인기 많은 이유,영국 총리가 인기 많은 이유 eostoken
138,우리 동네에 삼성 상회 건물 생김,회사 이름이 삼성이 뭐냐 할꺼면 오성 정도는 해야지 몇년 못가고 그방 사라질듯,sostoken 우리 동네에 삼성 상회 건물 생김,우리 동네에 삼성 상회 건물 생김 eostoken
139,일본 전자기기 매장의 액정 태블릿 판촉 문구,학생 여러분은 액정 태블릿을 사기 전에 그림 연습을 먼저 합시다 직장인 여러분은 어른의 재력을 발휘합시다 판태블릿을 가진 여러분은 액정 태블릿이라면 그림실력이 좋아질 거라는 환상을 버립시다,sostoken 일본 전자기기 매장의 액정 태블릿 판촉 문구,일본 전자기기 매장의 액정 태블릿 판촉 문구 eostoken
140,공무원 진화,저러다 퇴직하는거임 직렬별 케바케가 워낙 심한 직종이라서 잘못 걸리면 알바보다 적게 받으면서 야근 뛰는 경우도 있다함,sostoken 공무원 진화,공무원 진화 eostoken
141,거의 한반도에서만 사람들이 가공을 해서 먹는 것으로 유명한 작물,도토리인데 미국이나 유럽을 비롯한 서구권 국가들은 도토리를 식용으로 쓰는 쥐엄 열매와 돼지에게 먹이는 사료로 많이 쓰고 있음 흔히 한국에서 유명한 음식 중에 하나인 도토리 가공할 정도로 도토리가 사람이 먹을 음식으로 쓰이는 한국 뿐이라고 미국이나 유럽 서구권 국가들에서는 도토리가 돼지들을 통통하게 살찌우는데 그만인 사료라고 일본도 예전에는 도토리를 식용으로 쓰고 있었지만 이제는 점점 아닌 많이 가고 있다고 하니까,sostoken 거의 한반도에서만 사람들이 가공을 해서 먹는 것으로 유명한 작물,거의 한반도에서만 사람들이 가공을 해서 먹는 것으로 유명한 작물 eostoken
142,요리계의 어벤져스들,파기름으로 볶기 양파 넣기 다진 마늘 넣기 소스 넣기 치킨스톡 넣기 요리가 망했을때 가지를 섞어서 넣으면 못먹을 정도는 아니게됨 단점 모든 요리의 맛이 일정해짐,sostoken 요리계의 어벤져스들,요리계의 어벤져스들 eostoken
143,추억의 인하대 유도부 대자보 사진들,제작 과정은 옛날 짤방들엔 없었었는데 허접들만 모여 있을것만 느낌이지만 활동 자체는 진짜 진지하게 유도만 파고든다고,sostoken 추억의 인하대 유도부 대자보 사진들,추억의 인하대 유도부 대자보 사진들 eostoken
144,경기 시작도 전에 상대방의 의지를 꺾어버리는 라커룸,전미 최고의 미식축구 명문대로 손꼽히는 앨라배마 대학교의 경기장에는 실패의 이라는 시설이 앨라배마로 경기하러 오는 원정팀들이 쓰는 원정팀 라커룸의 이름인데 놀랍게도 이름은 앨라배마 대학교 동문이자 금융인인 제임스 페일의 성을 것이다 제임스 페일은 성을 박기 좋은 곳은 원정팀 라커룸말고는 없겠다는 생각을 오랫동안 해왔다 라고 말했다 싱글벙글,sostoken 경기 시작도 전에 상대방의 의지를 꺾어버리는 라커룸,경기 시작도 전에 상대방의 의지를 꺾어버리는 라커룸 eostoken
145,더럽게 무능했지만 옳은일을 했던 일본군인,도미나가 교지 군인으로서 최악의 무능과 보신주의 무책임을 보여주었지만 일본군이 밥먹듯 자행한 민간인 학살에 참여하지 않은 점령지 대민지원에 발벗고 나서고 일본군이 민간인 학살하려는 것까지 적극적으로 막으며 수많은 목숨을 구함,sostoken 더럽게 무능했지만 옳은일을 했던 일본군인,더럽게 무능했지만 옳은일을 했던 일본군인 eostoken
146,케냐 빈민가 출신 격투게임 프로게이머 근황,올해로 살인 브라이언은 케냐 빈민가 출신의 격투게임 프로게이머이다 케냐의 키베라는 전세계에서 가장 거대한 빈민가 곳으로 곳에서 자란 브라이언 역시 힘겨운 시간을 보냈건 당연했다 그의 아버지는 극심한 알코올중독과 그로 인한 가정폭력이 일상이었고 어릴때 지낸 여명의 소꿉친구는 범죄로 빠지거나 범죄에 당해 남아 있는건 여명 브라이언도 자라면서 범죄피해를 당해 세번을 총에 맞고 세번을 칼에 찔렸다 그가 마음의 위안을 찾은 곳은 게임의 세계였다 시간당 원의 방을 다니며 처음 만난 온라인의 세계에서 타인과 교류하는 것으로 휴식을 취했다 브라이언이 시작한 격투게임인 모탈컴뱃 처음에는 빠요엔들에게 패배만을 거듭했지만 선수들의 영상과 공략을 보며 실력을 쌓았고 어느새 지역대회에 출전 상금까지 타내면서 실력이 늘었다 닉네임 비스트 사용하는 브라이언씨 전쟁용병이나 군인같은게 프로게이머 프로필 사진임 프로게이머로 상금을 본격적으로 받기 시작한 브라이언은 자신이 나고 자란 케냐 빈민가에 상금으로 후원을 계속 하고 있을 뿐만 스포츠 선수들의 육성에도 힘쓰고 모탈컴뱃 하다가 졌을때 상대 선수 안죽임 모탈컴뱃 게임을 잘하는거지 진짜 모탈컴뱃 하는거 아님 총과 칼에 맞은 적이 있는거지 총칼을 쓰는 사람이 아님,sostoken 케냐 빈민가 출신 격투게임 프로게이머 근황,케냐 빈민가 출신 격투게임 프로게이머 근황 eostoken
147,일본이 도장 문화를 사랑해서 못버리는 이유,스가 요시히데는 재래적인 비즈니스 폐습을 타파하기 위해 개혁 호로 도장 없애기 선포함 회사의 화와 기업문화 개선을 위함이었음 전자결재를 보급하면서 기업을 유연하게하고 시바 쓸데없는데 시간을 쓰지 마라는 취지임 일본의 도장 문화는 정말 이해가 안될정도였는데 상사들에게 기울여서 찍는게 매너라고하고 간단한 결재서류조차 도장을 받아야해서 코로나 시국에 자택근무 명령내려도 직장인들이 도장받으려고 회사 나가는 진풍경이 펼쳐짐 존나 문제는 우리나라에도 알려진 고노 다로 사실상 현재 일본의 정도 인간인데 행정개혁담당장관이 도장에 미친 인간이고 도장 없애기의 선봉장에 서야 정책담당 장관인 타케모토 나오카즈는 아예 도장지키기협회 회장임 더웃긴건 년에 일본에서 관공서등에서 도장을 없애고 전자화를 추진한 적이 있었음 다들 찬성한다 했는데 갑자기 반대파가 생기고 반대가 극심했다고함 도장을 없애는걸 막으려고 기를쓸까 일본 도장 시장의 규모는 조원대로 추산됨 전일본인장업력회 도장 단체에서 신나게 로비를 뿌리고 있기 때문,sostoken 일본이 도장 문화를 사랑해서 못버리는 이유,일본이 도장 문화를 사랑해서 못버리는 이유 eostoken
148,레스토랑 알바생의 실수,엄마가 호텔에서 일하고 있었을때 레스토랑 안내를 하던 사람이 만석인걸 깜빡하고 안내를 해버렸고 손님과 넓은 레스토랑을 한바퀴 돌고 나서는 보시는대로 만석입니다 라고 말했던 얘기를 좋아한다,sostoken 레스토랑 알바생의 실수,레스토랑 알바생의 실수 eostoken
149,기네스북에 올라온 고무인간,억명 한명꼴로 발생하는 희귀 유전병인 콜라겐 엘러스 단로스 증후군 환자인 게리 터너씨 피부가 늘어나는게 특징으로 복부쪽 피부를 늘리면서 기네스에 등재됨 자신의 병을 숨기기 보다는 서커스 공연자로 일하면서 사람들에게 즐거움을 주면서 보람을 느낀다고,sostoken 기네스북에 올라온 고무인간,기네스북에 올라온 고무인간 eostoken
150,길고양이 늘면서 같이 늘어나는 중인 동물,담비 마지막으로 귀여운 외모 애완용으로는 안돼나 싶을텐데 번째 이유로는 천연기념물 국가보호종이다 번째로는 애들이 귀엽게 생기긴했어도 족제비과에 속한다 이거 무시하면 족제비과의 저력은 상상을 초월한다 키워보고 싶다면 자매품으로 패럿이라는게 있으니 녀석을 살펴보는게 좋다 아마 유일하게 가축화에 성공한 족제비과다 아무튼 대강 요약하면 요인도 있겠지만 담비 입장서 먹을거리인 길고양이가 늘어나다보니 얘도 자연적으로 늘고 있다는거시다 수정 천연기념물이라고 기재한 부분은 내가 제대로 파악을 못해서 잘못 기입된거 북한에 서식하는 검은담비 북한에서 천연기념물로 등록이 있고 남한에서 서식하는 담비는 천연기념물이 아님 멸종위기 급이라 국가보호종 지정되서 따로 관리되는건 맞음 잘못 알려줘서 미안하다는 말로 마침,sostoken 길고양이 늘면서 같이 늘어나는 중인 동물,길고양이 늘면서 같이 늘어나는 중인 동물 eostoken
151,일간 서로 손목에 체인을 감았던 우크라이나 커플 근황,발렌타인데이였던 올해 우크라이나의 커플이 서로의 손을 쇠사슬로 묶고 지내기를 도전함 서로의 사랑을 확인하기 위해 사생활부터 포기했고 도전 첫날부터 공중화장실에서 어느쪽으로 가야 하느냐는 문제부터 옷을 입는지 씻는건 씻는지 다양한 문제에 마주했고 약속한 도전 일만에 쇠사슬을 묶었던 장소에서 절단기로 체인을 끊음 도전을 시작할 이게 끝나면 결혼할거란 생각도 가졌던 사람이지만 도전이 끝나자마자 헤어짐,sostoken 일간 서로 손목에 체인을 감았던 우크라이나 커플 근황,일간 서로 손목에 체인을 감았던 우크라이나 커플 근황 eostoken
152,싸이코패스 살인마도 지리게 만든 공포의 친년,미국의 가장 미친 살인범을 꼽으라고 가장 먼저 나올 인간쓰레기 찰스 맨슨 교도소에 있는동안 자신이 범행에 관해서 전혀 반성하는 척도 밑바닥 중에서도 밑바닥 쓰레기다 어느날 그에게 구애를 시작한 여자가 있었다 애프턴 일레인 버튼은 옛날부터 열정적인 찰스맨슨의 추종자였고 그를 너무 사랑해서 결백을 증명할 수단까지 모으고 있었다고 했다 심지어는 교도소에서 결혼을 하고 싶다며 자신의 애정을 모두에게 과시했다 이것만 제정신이 아닌 여자구나 하겠지만 여자는 상상 이상으로 제정신이 아닌 여자였다 사실 그녀는 찰스 맨슨을 사랑한다기 보단 돈벌이수단으로만 보고 있었다 당시 맨슨은 나이도 지긋해서 길어봤자 년에서 년을 바라보는 노인이었다 결혼을 하게 된다면 맨슨의 시체는 아내인 버튼에게 가게되고 버튼은 그의 시체를 방부처리한 후에 전시해서 돈을 벌어들일 생각이었다 처음부터 맨슨에게 접근한 이유도 돈벌이를 위한 행동이었다 멀쩡한 여자가 굳이 저런놈과 결혼하는게 보통은 아니니까 사람들이 열심히 뒤를 캐고 다녔고 사람들의 조사로 일레인의 돈벌이 계획이 세상에 알려지게 되었다 찰스 맨슨도 사실을 알게되고 적지않은 충격을 먹었다 사실을 알게된 맨슨은 파혼을 선언했고 라고 천명했으나 지나지 않아 사망 허가기간 만료로 맨슨의 시체를 얻지 못해 모든 계획은 수포로 돌아감,sostoken 싸이코패스 살인마도 지리게 만든 공포의 친년,싸이코패스 살인마도 지리게 만든 공포의 친년 eostoken
153,한국어의 세계화,인도네시아사람이 한국어로 적어줌 정확한 형태는 인데 뜻은 대학 생활 즐겁게 하고 훌륭한 학생이 되길 바래 아아 이것은 표음문자 라고 한다,sostoken 한국어의 세계화,한국어의 세계화 eostoken
154,년만에 영화가 상영된 나라,사우디 아라비아는 년부터 영화 상영이 금지된적이 이란서 일어난 이슬람 혁명의 이슬람 보수파 바람이 사우디까지 퍼지는 바람에 종교적인 이유로 영화가 금지됐었다 년이 흐르고 사우디 아라비아는 영화 상영을 법적으로 금지했던 해제 다시 영화를 상영하기로 마음 먹었다 타자가 영화는 이거였고 대형 스튜디오가 제작한 애니 가장 최악이라 욕을 아직까지도 먹는 희대의 괴작이었다 다행이 이모티 영화 상영은 취소됐고 년만의 영화 상영 타이틀은 블랙팬서가 차지했다,sostoken 년만에 영화가 상영된 나라,년만에 영화가 상영된 나라 eostoken
155,일본서 만나면 누구나 당황하게 된다는 자동차,도요타의 전기차 미래지향적인 컨셉트카를 발표한 뒤에 이건 컨셉카인데 디자인대로 출시할거임 해서 저렇게 생긴 자동차가 실제로 도로를 굴러다님 가을부터 일반판매될 계획이었으나 정식출시가 늦어지면서 현재도 계속해서 테스트 주행 중으로 일본 여기저기서 발견된다고,sostoken 일본서 만나면 누구나 당황하게 된다는 자동차,일본서 만나면 누구나 당황하게 된다는 자동차 eostoken
156,의외로 일본에서 인기있는 한국문화,보자기랑 조각보 한국식 얇은 모시 원단 패치워크 만들기로 알려져 있음 만들 때에도 굳이 홈질 감침질 쌈솔 한국어 용어를 사용함,sostoken 의외로 일본에서 인기있는 한국문화,의외로 일본에서 인기있는 한국문화 eostoken
157,방탄 신곡 영국 아이튠즈 못한 이유,반주버전 위함 사실 집계는 두개 버터로 취급됨 버터랑 버터 엎치락뒤치락 왔다갔다함,sostoken 방탄 신곡 영국 아이튠즈 못한 이유,방탄 신곡 영국 아이튠즈 못한 이유 eostoken
158,애들이 점심시간에 선생님 몰래 틀었던 영화들,고어 슬래셔 호러물을 보는 대들이 많았음 학교 쉬는 점심 선생님 없을 몰래보는 영화들,sostoken 애들이 점심시간에 선생님 몰래 틀었던 영화들,애들이 점심시간에 선생님 몰래 틀었던 영화들 eostoken
159,성추행 당한 유명 헐리우드 배우,지난해 아내와 헐리우드 행사에 참여했을 헐리우드 중역이 다가와 중요 부위를 더듬었다 펄쩍 뛰며 뭐하는거야 말했다 아내는 모든 것을 보았고 우리는 남자를 친놈보듯 보았다 그는 그냥 머저리처럼 웃을 뿐이었다 아주 박살내버릴려고 했지만 사람들이 볼지 다시 생각했다 흑인 남자가 헐리우드 최고 책임자를 두들겨 패다 라고 내일 헤드라인에 걸릴 같았다 내가 그를 패버리면 뉴스를 읽지 못했을 것이다 왜냐면 감옥에 있을 테니까 자리를 떴다 다음날 내게 전화해 사과를 했지만 그랬는지 설명하지 않았다 더이상 신경쓰지 않기로 했는데 왜냐면 배척당하지 위해서다 가해자는 힘과 영향력이 있기 때문이다,sostoken 성추행 당한 유명 헐리우드 배우,성추행 당한 유명 헐리우드 배우 eostoken
160,주인을 배신한 브라질 강아지 근황,지난 브라질 경찰이 밀매 첩보를 입수해 용의자의 집을 급습함 급습 꽤나 오랜 시간을 수색했지만 약에 대한 정보를 찾을 없어 철수하려고 집을 나가는데 갑자기 집주인이 키우던 강아지가 밖으로 나가더니 땅을 파기 시작함 파보니까 현금 총기 등이 나옴 주인은 검거되고 강아지는 경찰의 보호를 받고 있음,sostoken 주인을 배신한 브라질 강아지 근황,주인을 배신한 브라질 강아지 근황 eostoken
161,머라이어 캐리 내한 당시 팬이 선물을,내한 당시 머라이어 캐리가 임신중이었던건 아니었고 머라이어 캐리가 아이를 가지기 위해 노력중이라는 언급을 보고 만들었다고 근데 나중에 당시 머라이어 캐리가 유산을 겪은 뒤였다는 것이 알려짐 이후 쌍둥이를 낳았는데 팬분이 선물한지 년이 지나 남편 인스타에 아이가 팬이 티셔츠를 입고있는 사진이 올라옴,sostoken 머라이어 캐리 내한 당시 팬이 선물을,머라이어 캐리 내한 당시 팬이 선물을 eostoken
162,중국 공학자가 빡쳐서 만든 넘어지지 않는 자전거,중국의 공학자 비오는날 자전거를 타다가 넘어져 얼굴에 부상을 입음 일을 계기로 넘어지지 않는 자전거를 만들려고 준비함 모델을 잡고 부품들을 프린터 등으로 만들고 기판과 프로그래밍까지 완료함 설계도대로 만들어진 넘어지지 않는 자율주행 자전거 두발 자전거면서 바퀴로 서있어도 안넘어짐 쪽에 물건을 걸어 무게를 다르게 안넘어짐 카메라와 레이다 센서가 달려서 차선을 보고 자율주행도 라이더 센서 덕분에 장애물도 피해서 회전함 깃헙에 소스코드 공개함,sostoken 중국 공학자가 빡쳐서 만든 넘어지지 않는 자전거,중국 공학자가 빡쳐서 만든 넘어지지 않는 자전거 eostoken
163,생각보다 규모가 너무 작은 귀멸의 칼날 세계관,푸른 피안화가 좀처럼 발견되지 않았기에 상현의 귀신이 될만한 체질이나 태양을 극복하는 체질의 사람들을 병행하여 수색 푸른 피안화를 사용한 의사가 살고 있던 장소가 도쿄였으므로 주변을 혈안이 찾아다녔지만 발견되지 않았다 푸른 피안화는 기후 등의 여건에 년에 번도 피지 않을 때도 꽃이 피었을 때도 동안의 불과 분에서 십분 사이에 닫혀버리는 하다 닫혀버리면 피안화가 아니고 커다란 뱀밥처럼 보인다 현대에 이르기 전까지는 존재조차 알려지지 않았었다 장대한 대서사시가 대충 부산 면적에서 벌어졌다는,sostoken 생각보다 규모가 너무 작은 귀멸의 칼날 세계관,생각보다 규모가 너무 작은 귀멸의 칼날 세계관 eostoken
164,스타 시절 과도한 세레모니로 먹었던 선수,세레모니를 시전하는 선수는 이성은 승리후 상대방 주위를 빙글빙글 돌면서 춤을췄는데 와중에 의자게 걸려있는 상대선수의 옷을 건들여서 바닥에 떨구는건 스포츠 선배한테 저게 짓이냐고 싸이월드 테러당하고 팬들한테 비호감 이미지가 제대로 찍힌다 몇년후 이성은 선수는 관종에서 열사로 추앙받게되는데 상대선수가 마읍읍,sostoken 스타 시절 과도한 세레모니로 먹었던 선수,스타 시절 과도한 세레모니로 먹었던 선수 eostoken
