,제목,내용
296,미쳐버린 서울의 쉐어 하우스.jpg,"    비싼 닭장이다
  "
297,노랑통닭 소비자 우롱 논란.jpg,  
298,(후방주의) SBS스포츠 여자리포터.jpg,"   후방주의!
  후방주의 맞잖아 왜 "
299,한국에서 콩고기가 인기 없는 이유　jpg,      
300,라면 좋아하는사람이 가족들이랑 살때 공감하는것 . JPG,    
301,연예계 3대 구라같은 진실.jpg,"  1. 이상우 출근길 코끼리 사건 
       2. 박세준 사자 멱살 사건
      3. 이덕화 이경규 낚시썰 대결
    "
302,소용돌이 애니화 근황.GIF,"             
            는 코로나때문에 계속 개봉일이 밀리는듯
  2022년 개봉 "
303,양덕들 현 상황.jpg,원본출처 | https://twitter.com/SamBySamsung/status/1400247946508124163?s=20 
304,코인으로 2억 4천 날린 대학생,"     부모님 집 주택담보대출….
  "
305,넷마블)최신겜 제2의나라 정리.jpg,"  월정액 27만원
        오토pk
                      각종 뽑기 및 수많은 과금상품
          제작진 : 리니지2 레볼루션 제작진
   
    "
306,조선시대 관우에 대한 평가,"나라도 못지킨 장수일뿐
    "
307,충격적인 이름의 돈까스 가게.jpg,"  '돈까스는 마시는 것'이라는 충격적인 이름으로 화제가 된 가게를 한발 앞서 찾아가봤다.
이름만이 아니라 메뉴도 굉장했다
          사진은 규카츠 "
308,택배 상하차 실제로 뛰어본 기자.jpg,    
309,컴퓨터 학원 다니는 엄마의 첫 작품,    
310,DNA를 못속이는 이유,"고양이과는 고양이과답게
DNA는 못속이네.
    "
311,대한민국 개그맨 개그우먼만이 할수있는 드립 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,원본출처 | https://youtu.be/9aehhYlT7XU 
312,SNK가 사과했지만 의외로 근본이었던 광고,"    킹오브 파이터즈  SNK 올스타즈의 북미광고
          SNK가 바로 사과문 올리고 삭제당함.....
    그러나
                                                                아랑전설 애니메이션의 테리
      그렇다. 테리는 원래 그런 무직 백수한량이었다.
      ※애니메이션 배틀 파이터즈 아랑전설은 멀쩡한 캐릭이 죽거나 
다른기술을 쓰는등 원작과는 동떨어졌다고 하지만
시리즈를 관통하는 진의 비전서나 마이의 섹시노선,
플레이어의 승리를 보고 심통을 부리던 단순한 와페니즈 소악당이던 기스가 악의 카리스마로 묘사된것 등
대부분의 캐릭터성은 여기서 잡혔다.
  "
313,제2의 나라 제작진이 노골적으로 노리고 만든 캐릭터,"  외모:하울
성우:하울
아무튼 하울아님 소드맨임 "
314,만두 가게차리려고 공동묘지 가녀왔다,"    이제 이거로 만두만들면
  만두가게 대박터진다
    "
315,* 맥도날드 무력시위 일어난 사진 아님.,"BTS세트 주문온거 빨리빨리 달라는 배달기사들 사진임.
  "
316,GS25가 살아나는 방법.jpg,"    ???:
구질구질한 행사나 
4과문 같은 거 필요 없이
이거 공수해다가
정가에만 팔아도
다시 살아남.  "
317,광주 붕괴사고 직전 건물 모습.jpg,    안넘어질수가 없던 상황이었네;; 
318,미야자키 무야호.jpg,    
319,미성년자와 촬영이 즐겁다는 남자 연예인 논란,"  유명 방송 도시 어부에는 절대로 부르지 않고 거절한다는는 이모씨
  "
320,어렸을때 아파본 적 없는 사람들 특징.jpg,"          루리웹 건강한 게시판
  "
321,일본 국민 게임 '에이펙스 레전드' 근황, 
322,ㅅㅅ후 남자가 배달음식 혼자 시켜먹어 화난 여자.jpg,                        
323,이광수 하차 후 유출된 런닝맨 대본....png,    
324,종이책의 위대함을 부정하지 마라.jpg,원본출처 | https://www.dogdrip.net/332508826 
325,결혼한 친누나가 가출한 이유.jpg,        
326,초고도비만 여자 헬스장가서 울었습니다, 
327,양아치들이랑 싸운 식당직원들.gif,원본출처 | https://youtu.be/ErTuorpTZL8 
328,사람도 죽일수 있다는 맨손 기술,               촌경 (=원 인치 펀치) 
329,의외로 실존했던 금괴 200,"      사실 200개였다네여
  "
330,한국식 화장을 한 흑인 소녀,    
331,조상님들이 순대를 먹었던 방법.jpg,"    순대는 ""초장""이다.
    "
332,저 여자아이가 아이실드21 후보라구요? 말도안되요!,"데빌 포 디멘션..!!!!
그리고 데빌 배트 스턴건! "
333,“조카를 고아원에 보내야할까요...”.jpg,    먹먹하고 막막하네... 
334,PD수첩에서 밑천 다 까였던 소리박사 근황,"  도바킨도 피 회복하는 포효는 못 쓰던데
  "
335,남자 최악의 머리카락 자강두천.jpg,"    강철직모
          악성곱슬 "
336,극장판 하나로 4000억 원 번 귀멸 근황.jpg,"   
인생 즐기는중. "
337,쿠팡 다니는 친구 새벽에 연락옴,"   퇴근하고 한시간후에 불났다네..
소방관분 무사하시길.. "
338,USB 타입 C의 비밀,"                                   
        진실은... 단자 배열이 달라서 앞뒤가 존재 하는건 맞지만
  꽂는 쪽 구멍이 대칭으로 되어있기 때문에 어떤 쪽으로 꼽던 상관없다.
  뒤집어서 정상이 된다면 그건 접촉불량이다 "
339,인형을 이용한 인종차별 실험.jpg,원본출처 | https://www.google.com/amp/s/www.history.com/.amp/news/brown-v-board-of-education-doll-experiment 
340,??? : 한국이 이렇게 개방적인 나라였다니!,"  잘생긴 젊은 남자 둘에.. 하트에 러브까지 써있으면.. 
    "
341,맥도날드 알바생의 BTS 세트 후기.jpg,    
342,슉 슈슉 슉 시. 시x럼아 근황,"  해외 수출됨
    "
343,동생이 혼전임신해서 결혼하는데 2개성씨 쓰겠다고함,"      김민호나마에왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
    "
344,길에서 연예인 실제로 봄,원본출처 | https://m.bobaedream.co.kr/board/bbs_view/best/427810 
345,집이 재건축 됐지만 쫒겨나지 않은 세입자.jpg,"    나무 전봇대를 콘크리트로 바꿨는데 
  나무 전봇대 안에 왕부리새가 만들어 놓은 집은 
  잘라서 옆에 붙여놓음 "
346,요즘 중국 영화 근황.jpg,"                                                                  충북 법주사
    "
347,남자들 선물로 주면 딱 좋은 시계,"   
                  "
348,열도에서보는 akb48이 몰락한이유 ㅋㅋ,"      일본의 오리콘차트가 cd판매만 하던 집계방식이었는데
akb48은 악수회 시디끼워팔기등으로 10년을 해먹었는데
이게 빌보드차트방식(cd판매,스트리밍등) 복합적으로 바뀌다보니까
발비비데가 없어지고
  KPOP이 너무 뜨고
시대가 변했는데 계속같은것만 고집하다가
결국 무너지게됐다고 하네
  "
349,운동하라고 몸이 보내는 신호, 
350,러시아 여자 초등학생 전투력.gif,   확실한건 내가 10명이어도 질듯 
351,국어시험중 눈물바다가 된 전설의 지문.txt,                
352,유복한 집 남자와 과외 누나 썰.jpg,    
353,공짠데 왜 돈내고 씀? ㅋㅋㅋㅋㅋ,"                      이게 사람새낀가
          "
354,배민 사장님 급발진 결과.jpg,                        
355,"""누나 나 한번 꼬셔보면 안돼?""",      헤으응... 눈나.. 
356,서양인들이 한국와서 의외로 싫어했던 음식.jpg,"        술이라고 해서 기대했는데
  이건 싱글몰트도 아니고
  중국의 고량주, 일본의 사케도 아닌것이
  향도 없고 색도 없는데
  맛은 화장품맛, 입에 들어오면 시체안치소 향나고
  20도 짜리인데 40도 양주랑 다르게 한잔만 마셔도 취기가 돌게만드는
  도데체 안에 뭘 넣었고 만들었는지 의심가게 만드는
  소주 "
357,원펀맨) 로니콜먼 인스타,    
358,한국의 넘사벽 유튜브 채널.JPG,조회수 86억 아기상어는 BTS도 이길수가 없다 
359,서울대생 스펙 레전드 . JPG,"      저중 하나만 해도 인생 업적인데 ㄷㄷ
  현재는 스타트업 CFO로 일하고 있다고
  "
360,어느 슈퍼 진열 매대 상태.jpg,              
361,안흔한 버튜버 방송사고.zombie,"여러분은 아무것도 못보신겁니다




      "
362,"미국 중학교 졸업앨범 논란 ""다운증후군 치어리더만 빠졌다"".JPG",원본출처 | https://news.v.daum.net/v/20210620105703161 
363,사람들이 스테로이드를 하는이유,"      근육을 얻는대신 정자,건강을 잃음 부작용으로
    "
364,아내돈으로 살겠다며 직장 그만 둔 남편.JPG,인정 인정합니다 
365,삼성걸 밈 수명 끝났음,"  지상파에 나오면 밈수명 끝난겨
  "
366,음주운전 근황.jpg, 
367,컴퓨터가 거실에 있어야 하는 이유.jpg,그걸 왜 어른들하고 같이..? 
368,과외집에서 6년간 밥먹은 썰.jpg,                    
369,사이코패스 의사.gif,    
370,8년간 아내를 믿은 기러기아빠.,"  1. 2006년 아내가 딸의 조기유학을 위해 딸과 함께 미국으로 출국
  2. 남편은 한국에서 태권도 도장을 운영하며 기러기아빠 생활 시작..매달 생활비와 교육비 송금.
  3. 3년후인 2009년 건강이 나빠지고 경제적 어려움까지 겹쳐 아내의 귀국을 요구 했으나 아내는 거절...계속 기러기 생활 이어감.
  4. 그로부터 또 3년뒤 2012년 남편은 이혼을 요구했으나 아내는 8천만원을 주면 합의 이혼해주겠다고 답신함.
  5. 합의 이혼을 위해 5천만원을 송금해줬지만 아내는 핑계를 대며 귀국 및 이혼 거부
  6. 2006년 출국이후 8년간 단 한번도 귀국을 하지 않은 아내를 상대로 한국에 소송
  7. 돈벌어주는 기계였던 남편이 이혼소송을 청구하자 당황했는지
아내는 남편이 외도를 해서 저런 이혼 청구를 한거뿐이라고 이혼반대반론
  8. 법원에서는 남편의 이혼청구는 정당하다며 혼인 파탄 책임은 아내라고 판결
      판사도
판결문쓰다가 울었을듯
      "
371,세상에서 제일 억울한 복상사.jpg,"            폰상사
  시신의 옆에는 포장은 뜯었으되 사용은 하지 못한 콘돔이 남아있었다고...
    "
372,영업활동에 방해되는 캠패인 중인 서양인,    
373,일본에서 유행했던 '여자력을 뽐내는 방법'.JPG,"      사 -> 역시~! (사스가)
시 -> 몰랐어요~!! (시라나캇타)
스 -> 대~단해요! (스고이)
세 -> 센스 좋네요!! (센스 이이)
소 -> 그렇구나~! (소난다)
                  뛰어난 여자 회화 사시스세소♥
  사 물러나있어 (사갓테이로)
시 죽고싶은 놈부터 덤벼라 (시니타이 야츠카라 카캇테코이)
스 빈틈 투성이군 (스키다라케다)
세 전장에 자비따윈 무용 (센조니나사케와무요)
소 그 정도냐 (소노테도카) "
374,퇴사예정 평사원 VS 꼰대과장,    
375,친자아님 근황.png,원본출처 | http://web.humoruniv.com/board/humor/read.html?table=pds&number=1064388 
376,복어 손질 대참사.jpg,"  주작이던 뭐던 복어는 함부로 먹지 말자..
    "
377,어느 소방관이 백종원을 싫어하는 이유.,"    소유진 팬이라서.
  "
378,음식배달기사 분탕종자 근황,"  아주 자랑이라고 저걸 공개하네;ㅅ;
    "
379,연예계 최초 허언증 환자 1호.PNG,연예계 허언증의 원조 
380,23살 차이 부부 모임.jpg,"  프랑스 마크롱
부인이 23살 연상
  보리스 존슨
부인이 23살 연하 "
381,삐쩍마른 호랑이.jpg,"                    호상이라고
  말랐다 하더라도 얼굴보면 범은 맞네
  무서워
  "
382,남의 잔치에 가서 깽판친 한국인,"    2015년 일본에서 열린 국제 야구대회인 프리미어12
  노골적으로 일본 팀을 밀어준걸로 유명한데 경기 일정도 일본팀 편하게 잡고 일본 경기에 일본인 심판 배정 비율이 높았음
반면 한국팀은 빡빡한 일정 때문에 일본 도착 후 훈련도 못하고 바로 본경기 들어감
누가 봐도 일본이 준비한 일본만의 잔치상이었으나
  한국이 우승함 ㅅㄱ
  꺼억 국이 좀 짜더라
        여기서 일본인들의 멘탈을 갈아버렸다는 전설의 빠던이 나옴
        "
383,편의점 여자 알바생 해고 시켰다.jpg, 
384,만화 업계의 살아있는 괴물,"     레이브, 페어리 테일 작가
  마시마 히로
                기본적으로 화요일 금요일까진 작화 작업으로 하루 8페이지 원고를 하고
  토요일은 딴 일, 일요일을 네임, 월요일은 협의를 거치는 루틴을 거친다.

다만, 실제로는 8페이지 이상을 한다. 하루 9~10시간 일하고 거기서 게임을 2~3시간 한다.
  얼마전까진 주간연재 2개랑 네임 1개를 하고 있었는데 1주일에 원고 40페이지, 네임은 60페이지였는데
  그래도 게임하고 취침할 시간은 있었고 여러분이 생각하는 것보단 힘들진 않았다.
      (실제 한 말)
  "
385,요즘 여중딩이 좋아하는 생일선물 베스트,"       쿠크리 
  ㅇㅇ
  이걸로 사랑하는 당신의 하트를 겟!
      "
386,자전거 동호회 이미지를 개박살냈던 사건,"                         
  "
387,일본에 있었던 무존재 甲 사건,"            19살 짜리 관심종자가

가게에 들어가서 이쑤시개로 식료품에 구멍내고 돌아다니거나 물건도 훔침

그리고 유투브등을 통해 인터넷에 자랑질

그리고 미성년자인데 술먹었다고 혼자 들뜸

전국적으로 쫒기자 오히려 더 좋아하면서 ""어차피 내 인생 사형당해도 상관없음 ㅇㅇ""



그리고 체포

주변 중학교 동창들에게 얼굴 보여주자 ""같은 학교였는지 조차 모르겠다"" 하는 반응들
    "
388,원조가 후발주자에게 패배한 이유.jpg,  
389,미녀의 고백을 거절하기 챌린지 . JPG,    
390,얼마나 박아댄거야 짤의 진실,"  자기는 정부기관?에서 과거로 좌표 잘못 찍어 보내서
 무인도에 표류하게 되고 나중엔 중국으로 흘러가서 모진 고생을 다했는데
  정부기관?소속인 상사놈은 하라는 업무는 안하고 떡이나 치면서 애를 4명이나 만듬
  "
391,쉬... 쉬쉬쉬쉬...... 이지 이지...,Have a good night... 
392,한국어 난독화 근황.jpg,"        난독화 생성기 생김. 
  읽어지는게 신기..
                                                  구글 : 어림없는 소리
  "
393,BTS 'Butter' 가장 많이 재생한 나라,"                일본 뭐냐? ㅡㅡ; 혐한아니였어?
    "
394,게임협회의 진심이 담겼던 말,원본출처 | http://www.infostockdaily.co.kr/news/articleView.html?idxno=141352 
395,리트리버 견주 필사의 외침,    
396,현실에 튀어나온 게임 캐릭터.jpg,원본출처 | 엄밀히 말하면 콜로라도 시와 콜로라도 주가 따로 있어서 다르기는 하다 
397,친척들 다 모인 자리에서 60살 작은아버지 명언,"      웃지마 유게이들
  우리 얘기야 "
398,변호사가 하면 불법인 것,"      변호사는 한쪽 말만 듣고 법정에서 대신 싸워주는 사람들이지
  양쪽 말 듣고 판단하는건 판사라고 따로 있어요 "
399,대부업자도 당황하며 주저한 것.,"     
  이순신 장군님의 유물..... "
400,팀장아..계약직 애 무시하지 마라..,"    팀장이 그걸 모를수가 있나..
싶지만 회사 다니다보니 그럴수도있겠다 싶더라
  "
401,샘 오취리 근황,"  담당자님 눈치챙겨
    "
402,돈스파이크 인바디 측정...jpg,"     189에 골근 49 ㄷㄷㄷ
  "
403,참치 근황,    
404,박보검 논란.jpg,    
405,악마가 만든 앱.jpg,"  사람일리가 없음
  "
406,유머)구멍에 낀 여자들,                        농구골대에는 어떻게 들어간거야??? 
407,"30, 40대가 20대보다 더 힘든 이유","    더 많이 맞는거여서
    "
408,김종민이 신지에게 돈을 아끼지 않는 이유.jpg,"      그렇다 신지가 번 돈을 김종민이 잠시 맡아둔 것이었다.
    "
409,20~30대 당뇨 전조 증상,    
410,공무원이 별점 1점 줬다고 협박한 사장,"       
1. 공무원이 순댓국을 시킴
2. 배달원이 순댓국을 버림(?)
3. 사장이 환불해주겠다고 했으나 직장 동료가 전화해서 항의함
4. 사장 왈 ""당신들 내 세금으로 월급 받는 공무원이고, 내가 당신들 이름이랑 주소지 알고 있으니 좋게 끝내자.""
5. 개소리 먹금하고 공무원이 해당 음식점 리뷰 1점 남김
6. 사장이 해당 부서에 전화해서 해당 공무원이 리뷰 1점 남겼다고 항의함
7. 해당 공무원이 (비꼬는 듯한) 사과문 올림

  "
411,비대면 생리결석 요구,    
412,카페 공부충 개극혐이네 진짜...jpg,                    
413,카페 공부충 개극혐이네 진짜...jpg,                    
414,요새 세상에 밥 굶는 초등학생이 있다고...????,"    옘병 아주 그냥 ...
  "
415,빅토리아 시크릿이 뚱녀를 써서 망했을까?,원본출처 | https://www.dogdrip.net/331780655 
416,일본 여대생 근황.JPG,"      호텔에서 친구들이랑 한국음식 사먹고 한국어로 대화하고 한드보고하는 ""한국여행놀이""가 유행중
    "
417,덕팡 화재때 폰 분실한 쿠팡사원,    
418,인방)　일본인 : 한국라면이지만 빨갛지 않으니까 안 맵겠지??,"         
              교훈 : 한국라면이 하얗다고 방심하지 마라
  "
419,좀 비싼 손전등 수준,자고있던 주민 : ㅅㅂ 뭔데?? 
420,오뚜기 근황,원본출처 | https://www.instagram.com/p/CQNcnh8nvSL/ 
421,"일본 웹툰의 유료, 무료 서비스 차이.jpg",   무료도 나쁘지 않네 
422,일본에서 벌어졌던 시체물 사건.jpg,    좀 무섭다... 
423,35억 날린 도지코인 투자자,원본출처 | https://www.hankyung.com/international/article/2021060310017 
424,혐) 얼어죽은 개.gif,  저승사자 : 아 시1발 깜짝이야 
425,"왠 애기가 내 동전지갑늘 집어가길래, 놀람."," 
이 정도면 절도 지시했다고 해도
  믿을 듯... "
426,293만 도시인데 뭔가 부족한 인천.jpg,"    그래서 인천에 있는 백화점은 구 신세계백화점 자리에 들어온
롯데백화점 인천터미널점 뿐
  근데 뭐 안좋은 기사 나오면 다른 지역은 안그런데 유독 인천만 마계니 양아치니
실제 통계는 그렇지 않은데 이미지를 곱창 내놔가지고
인천 시민으로서 심히 안타까움
 뭔가 좀 홀대받는 기분
       
본문에 비슷한 사건이어도 다른지역보다 유독 인천은 지역을 욕한다고 써놨더니
댓글에서 그대로 인천이 마계네 뭐가 개판이네 양아치가 많네 하고 있네
대단하다 "
427,이상한 아저씨가 나한테 훈수를 두고있다.jpg,"(괜히 분위기 망치기 싫어서 적당히 맞장구 쳐 주는 중)
    "
428,앞좌석 여성의 몸을 더듬는 손길　gif,          
429,20~30대들에게 많다는 전화공포증 증상.jpg,"  콜포비아(통화공포증)
  전화를 걸거나 받을때 
  공포를 느끼는 현상 
  --
  나도 군대에서 당직병할떄 전화소리 올리면 
  막 무섭고 짜증났는데 
  이게 공포증이였구만 ㅇ
        "
430,연봉 124억 9590만원 정원사 클라스.jpg,    
431,어떤 중국겜에서 영미권 성우들 단체 하차함,"                    유머는
샤이닝 니키 한복사건 일으키고 환불안해주고 섭종해버린 그 회사 ㅋㅋㅋㅋ
    "
432,비싼 옷 하나 사라는 사람들.jpg,    
433,허구연이 1960년대에 일본가서 경악했던 점,"                                                                                                        베스트 일본 60년대 글 보고 올려봄
  저때부터 야구 인프라에 꽂힌건가!
          "
434,남자들한테 인기있을수밖에 없는식당,    
435,북한 김정은 근황.jpg,"              얼굴 반쪽됨 ;;
        "
436,서비스직 개빡칠때,"  이런거보면 그냥 무인화가 서로 속편하긴해
        "
437,어느 신입사원의 실수.jpg,    
438,임요환한테 대들 수 있는 유일한 선수,"https://www.youtube.com/watch?v=z4mFAXp0G1Y
다들 알다시피 임요환은 한국 프로게이머 시장을 만들어낸 개척자나 마찬가지라서
웬만한 프로게이머들은 임요환을 조심스레 대함.

하지만 콩진호는 예외임


몇년 전 게임 방송에서 사대천왕(임요환, 홍진호, 이윤열, 박정석)과 도뱅리쌍(도재욱, 송병구, 이제동, 이영호)가 합방을 했었음.

겜 끝나고 임요환이 박정석한테 정산 부탁했는데
여기서도 홍진호, 도재욱 팀 먹고 2등함.
홍진호 혼자 정산해서 꼬임
계속 이어지는 말싸움
나머지 6명은 끼어들지도 못 함.

결국 임요환이 내놓은 필살기
결론: 대들긴 해도 이기진 못 한다. "
439,개발자들이 열심히 연구해도 망하는 케이스,"      ???: 진행시켜
    "
440,외국에서의 바이크 인식.,"  똑같네.
    "
441,풍선을 병 속으로 넣는 방법,"오



어ㅋㅋㅋㅋㅋㅋ "
442,경양식 돈까스 부먹에 분노하는 광희.JPG,그럴싸한데? 
443,발톱을 정말정말정말정말정말정말 깎기 싫었던 강아지,"클릭시 소리 주의

      공포영화에 나오는 줄 알겠다 야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ "
444,해외 K5 근황.jpg,"물건너가서도 싸이언스5의 악명을 떨치는중
  "
445,알바 그만 두고 신고하지 마세요^^, 
446,논란의 아파트뷰.jpg,                
447,요즘 2-30대가 회사생활에 목 매지 않는 이유, 
448,저희 업소는 외국인 노동자를 고용하지 않습니다.,                  
449,우리 오빠 의대 자퇴때문에 우리집 뒤집어짐.jpg,"의대갈 머리면 차라리 진학 안하고

7급이상 공무원 공부하는게 나을지도 

의사는 진짜 적성 맞아야지 "
450,배달음식 ㄹㅇ개고수 ㄷㄷㄷ.dogs,"      아이씨 뭘봐... 구경났어?
  개 처음봐?
  일 봤으면 가 "
451,수학교사가 사라지지 않는 이유 . JPG, 
452,성실하지만 매출이 매우 낮은 샌드위치 가게.jpg,                                                                                                                                                                                                                                                                                                                                      
453,외국인 리액션 국뽕 유튜버의 진실.jpg,"     그냥 알바생이었음
  "
454,신랑에게 해준 집밥.jpg,  
455,우리나라에서 우연히 잡힌 고래상어,"                      멸종위기종에 돈도 안되는 뇨속
  당장 바다로 꺼져버렷!
    "
456,비트코인이 실제 화폐로 사용될수 있어요?,    
457,새로온 부장놈이 사고쳤다..,"        반전..
    "
458,배달의 민족 대표의 언행일치,"        2조에 안팔고 5조에 팜
  "
459,골든리트리버 입양 현실.jpg,        
460,인간 짬통.jpg,"  맛이 있다는 건지 없다는 건지 참 알기 어려운 표정이다.
    "
461,기상청 오타 레전드.jpg,    
462,굶주림에 친구의 시신을 먹은 노숙자의 재판.jpg, 
463,(약혐) 일본 앞바다에서 시체가 떠올라,"                                                                                            안타깝게 발견된 어느분의 와이프
    "
464,초5 아이의 기억을 지워버리고 싶어요, 
465,작살낸 생태계를 가만히 냅두면 안되는 이유.jpg,    
466,한류에 편승하려는 중국 근황.jpg,"    vivo 쯤 되는 중국 대기업이 저런 지랄한다는건 
이미 볼장 다 본거네... "
467,아시아인이 샤워를 하는 법.jpg,    ? 
468,"2000년대 한국 게임, 2020년대 한국 게임.jpg","겁쟁이들의 쉼터가 증식중.
  "
469,사장이 연봉을 2배로 올려주셨어요," 앞으로 연봉협상할 때는 사장 뱃때지를 후려야겠죠?
  "
470,드래곤마운틴 근황.jpg,        
471,다방 레전드 매물.jpg," 티비 비율보소
  "
472,능력주의의 폐혜.jpg,"      진짜 자기들이 잘난 덕분인 줄 암
      "
473,배민 배달취소사유,                                
474,통장 잔고가 2만원 밖에 없을때 일본인 반응,        
475,한식 부페 7000원 도시락 혜자다 VS 보통이다.JPG,"보기엔 혜자인데 뷔페음식이라 긴가민가 하기도 하고 

결론은 먹어보기전엔 모르겠다네 "
476,동기 여자애가 똥사고 울었다...jpg,   말 안한다면서 에타에 올림 
477,우리집 자동문 근황,"  여닫이문됨
  "
478,92년 임진왜란 레전드 다큐.jpg,"  축소판 거북선 모형
  불을 뿜는 용두와 주술적 의미가 있는 귀두를 설명하는 중
      해사 박물관에서 제공한 실제 크기의 거북선
      거북선 내부
  병사들이 2인 1조로 노를 저었다고 함
      장군들의 회의실 및 함장실
      똥 싸는 화장실도 구현 ㅋㅋ
      맨 아래층에는 병사들이 휴식을 취하는 내무반으로 구성
      내무반에서 쉬다가 왜선이 발견되면 바로 올라와서 전투준비
        위풍당당 그 자체
  임진왜란 초창기, 거북선은 총 3척이 있었고
거북선이 처음으로 데뷔(?)한 사천해전의 경우 2척이 출전해
선봉에서 왜놈들 대가리를 깨부셨다고 ㄷㄷ
      92년 kbs 임진왜란 다큐
  당시 해군사관학교가 적극적으로 협찬해 주었다고 함 "
479,대중교통에서 계속 누가 쓰다듬어욧.gif,"  촉법이라 답이 없음.
    "
480,참전 용사와 싸우면 안 되는 이유.,    
481,한국 모바일 게임 근황,"    ???:리니지는 가장 완벽한 게임
(사업부 기준)실현 되는중
    "
482,회사 내규도 씹어먹은 전설의 영업왕.jpg,    
483,대한민국 건덕을 배신한 실물건담 사건,"2001년. 아직 애니와 만화의 문화가 생소하던 그 시절.
  은밀히 취미를 공유하던 덕후들에게 즐거운 소식이 전해지게 되는데...
  그것은 바로
        그것은 바로 한국 최초의 건담 월드 행사!!
  반다이 공식 건담 대형 이벤트가 한국에서 처음 펼쳐지는 소식에 건덕들은 흥분을 감추지 못했는데...
  이들을 더욱 열광하게 만든 항목이 있었으니 바로 [오퍼레이션 룸] 항목이었다.
  실물 크기 건담!!
    많은 건덕들은 이 소식에 아직 존재도 안하는
    이것이나
          이런걸 상상하며 흥분을 감추지 못했다.
  일본에도 없는 실물크기의 건담이 한국에!!
  당시 성인 1인 1만원이라는 높은 입장료에도 수많은 건덕들은 실물크기 건담을 보겠다는 일념하에
  행사장으로 향하게 되는데....
              쇼핑백에도 당당히 적혀있는 16미터 실물크기 건담!
  이 문구는 수많은 건덕들의 가슴을 설레게 만들기에 충분했고
  그렇게 운명의 날이 밝았다.
    그리고...
            그들을 맞이한건 '실물크기' 의 포스터였다.......
    "
484,한국에서 아이 못 키운다는 외국인.jpg,    
485,후방주의) 남편들 환장하는 마누라 이벤트 복장 . JPG,    
486,강형욱 아들의 충격적인 근황,원본출처 | https://www.instagram.com/hunter.kang/ 
487,"손정민 친구 ""난 잘못없다. 고소 진행한다.""","    나만 아니면 돼!!!!!!!!!!!!!!!!!!!!
  "
488,미국식 소금 채취법, 
489,반응 좋다는 용인시 소셜 마스코트.JPG,머쓱타드 
490,사타구니가 가려울 때 유용한 도구.jpg,    이제 마음놓고 긁으세요 
491,국제시장 인도 리메이크판,"어렸을 때 가족들과 헤어짐
(파키스탄 분리 때 이슬람인들이 탈출한다는 설정)
    체력 테스트 후 해외 근로
(중동 파견 설정)
      동생 귀 뒤에..
(똑같은 설정)
      그리고 마지막
    "
492,스폰서 이미지를 통째로 먹튀했던 기업,"      는  
2002년 한일월드컵 때 
  skt의 붉은 악마 광고
    원래 월드컵 공식 스폰서 광고는 
  월드컵 공식 인증 마크가 
무조건 부착되서 광고됨
            그 당시 월드컵 공식 스폰서였던
ktf (옛날 kt)는 
  직접 월드컵 스폰서 달고
fifa 공식 파트너 자격까지 얻어서 광고했는데
 
 (저화질 미안,,, 자료가 없어서,.)
  정작 skt 붉은 악마 광고가 너무 떠버림
  지금까지도 붉은 악마, 오 필승 코리아 라는 기억이 머리에 남아 있을 정도로 엄청 성공한 광고였지만
      위에 보이는 광고를 잘 보면
  월드컵 공식 스폰서 자격 마크가 없고
fifa 파트너 자격 마크도 없음
  그래서 원칙적으로 skt는 이런 광고를 못하지만
(법적으로 월드컵 광고는 스폰서만 가능)
  skt는 광고 속에 월드컵이라는 단어 자체를 빼버림
  광고를 보면 알수 있겠지만
  '승리의 대한민국!'
'오 필승 코리아'
처럼 월드컵 언급 자체를 안했음
    2002년 당시 ktf는 수십억 단위로 후원해서 
겨우 얻은 스폰서쉽 자격을
  지금까지도 ktf 월드컵 후원은 실패했던 사례로 교육될 정도로
그냥 광고 하나로 skt한테 통째로 먹튀 당했음
  "
493,한국에서 발견된 정말 작은 쥐,   귀여워 
494,"표절 논란 인디게임, 원작자가 수정권고",원본출처 | https://kr.ign.com/katana-zero/10735/news/katana-jero-tim-beulreodi-reicele-geim-sujeongeul-gweongo 
495,일본 만화계 최고 인생 승리자,"              세일러문 작가 
  금수저 집안 
공부 잘해서 약대감
이쁜 외모 
만화는 대히트 
사랑하는 사람이랑 결혼해서 알콩달콩
요즘은 남편 권유로 만화 안그리고 쉬는중 
  등등 진짜 부러운 인생 사는중이라고 한다 
    "
496,한 게임을 오래하면 생기는 일.jpg,    
497,근데 학생이 섹♡ 하는게 나쁜건가?,      다시생각해보니 괘씸한거 맞네 
498,요즘 애들은 ㄹㅇ 모르는 장소.jpg,                
499,30세 이상만 탈 수 있는 버스.jpg,    
500,일본의 여자 오타쿠 근황,"  최근의 여자 덕후
  각 나라 이름을 잘 알게 됨
로드바이크에 대해 잘 알게 됨
칼에 대해 잘 알게 됨
농구 규칙을 이해
야구 규칙을 이해
배구 규칙도 이해
피겨스케이트의 규칙과 기술도 이해 <-NEW
테니스 규칙은 여전히 이해불능 <-지금 여기 "
