,제목,내용
626,"밤인데 귀신,가위,소름 썰 풀고가자","일단 난 귀신을 믿는 쪽에 가까워!! 너네도 믿는지 안믿는지 알려줭

난 귀신을 믿게 된 계기가 내가 겪은 일 때문임.
난 유학을 갔었는데 그때얘기임..

먼저 우리 학교는 되게 소규모여서 애들도 별로 없었어. 그날은 학교 소강당에서 작은 축제가 열린날이었고 학생이 거의 다 집에 간 상태라 되게 한산한 분위기얐엄.

선생님들 몇몇분들은 퇴근하시고 다른 쌤들은 각자 자기 담당 반을 청소하고 계셔서 나랑 관리자?선생님이랑 같이 소강당을 청소하게됬어.

근데 의자도 다 치우고 빗자루로 다 쓸고 이제 대걸.레질 차례였는데 관리자분이 우리 학교 창고에서 뭘 가져오신다고 해서 나 혼자 물__질을 하게된거여.

너네도 학교화장실에서 본적 있을 수도 있는데, 그 대걸.레물받이랑 손잡이 당겨서 물짜는 기계가 같이 붙어있는 암튼 대걸.레세트? 가있어.

마른 대걸.레질하는게 아니여서 그 물받이에 물을 가득 채워서 막 물기가 마를듯 안마를듯 쟈박쟈박한 상태로 대걸.레질을 하고있었단 말이야.

이제 내가 강당 문쪽 끝에서 부터 중간까지 대걸.레질을 하고 있다가 계속 구부리고 대걸.레질을 하니까 허리가 아파서 스트레칭을 하면서 이제 대충 어느정도 했나 뒤를 쓰으윽 돌아봤다?

근데 이상한건 분명히 관리자 분이 강당 나가실 때 문도 닫고가셨고 내가 걸.레질 시작할때도 문이 닫혀있는걸 봤는데 내 뒤쪽으로 발자국이 몇개 찍혀있는거야.

난 누가 들어왔는데 내가 걸.레질하느라 못들었나? 싶어서 다시 발자국을 보니까 ㅅㅂ 애기 발자국인거야;;;;

근데 더 내가 소름이었던건 중학교에 뭔 그런 애기 발자국이 있냐 그거였어,,심지어 문쪽에서 부터 이어진 발자국이 아니라 그냥 내 주위에서만 빙글 돈 발자국ㅠㅠㅠㅠ 나 그때 진짜 뒤이이질뻔했다

그리고 ㅅㅂㅋ더 무서운건,, 그 관리자 선생님이랑 친했던 우리 담임쌤이 귀신얘기할때 말해준건데

ㅆㅂ 관리자분이 학교 창고랑 학교매점이랑 이어지는 좁은 복도에서 애기가 투다닥 뛰는걸 봤다는거임 ㅅㅂ ㅠㅠㅠㅠㅠ

난 진짜 이 일 후로 ㅅㅂ 지금까지 학교 혼자 막 못돌아다님;;; "
627,너희 백일몽 들어봤어?,"아니'백일몽'단어뜻이 너무 맘에들어서 노래도 찾아봤는데 노래가 꽤 많더라고ㅋㅋㅋㅋㅋ근데 다 노래가 좋음..ㄹㅇ이제서야 찾아본게 후회될정도.. 공통적으로 약간 전부 몽환적인 느낌?

띵곡 많이 찾아서 기쁘다\(^o^)/ 너희두 들을거 없을때 다 들어봐봐


제이홉-daydream
슈퍼주니어-백일몽
러블리즈-백일몽
nct127-daydream
아이즈원-daydream
드림캐쳐-daydream
+성규-daydream
+데이식스 미니2집 앨범 이름도 daydream이래!

와 이렇게보니 daydream 진짜많닼ㅋㅋㅋㅋㅋ

참고로 백일몽이 영어로 daydream이래

한 주제로 이렇게 다양한 띵곡들이 탄생했다는게 신기ㅋㅋㅋ백일몽 뜻 알고들으면 더 좋음!!
혹시 내가못찾은 백일몽 있으면 댓글로 달아주라 들어보게♡ "
628,갑자기 친구가 집앞에 와서 삼겹살 먹자고 한다. 뭘 고를거야?, 두꺼운 / 된장 / 물냉 / 양파 / 생김 / 상추 / 구운마늘 /  쌈장 
629,정말 말해주고 싶은 등드름 해결법,"나는 등드름으로 10년 넘게 고생했어

원래 등 T자 모양으로 정말 촘촘하게 다 여드름 이었는데

지금은 그래도 정말 너무 좋아져서 이정도로 바꼈음

(어깨깡패주의)



안좋았을 때 사진은 못올리겠다 진짜 여러분들의 눈을 위해서… 너무나도 극혐이라…

 
정말 등드름에 좋다는건 살면서 다 해본듯 ㅋㅋㅋ

중학교때부터 심해졌고 20대 중반 넘어서까지 개고생했으니까 진짜

 
내가 해본거

바디로션, 바디브러쉬, 쿨매트, 피부과약먹기, 등드름미스트, 수딩젤바르기, 전기장판 안쓰기...

뭐 당장 생각나는것만해도 이정도 ㅋㅋㅋ

이거 말고도 등드름은 몸에 열 때문에 난다고 해서 몸 열 낮추는 음식들, 한약 다 먹었찌

 
저 중에서 딱 하나 도움됐던게 피부과약임

로아큐탄 먹으면 등드름 하나도 안나 근데 부작용이 엄청나. (몸이 심각하게 건조해짐)

그리고 약끊고 기간 좀만 지나면 다시 등드름 올라와. 그래서 더 슬퍼짐

 
근데 내가 어떻게 등드름이 안나기 시작했냐면

바디워시 바꾸고 안나기 시작함;;;

이게 의심의 여지가 없는게 내가 인터넷 글 중에서 ‘등여드름 유발하는 바디워시 특징’ 뭐 이런 비슷한 글을 봣었거든

내가 여태살면서 썼던 바디워시가 다 해당됐음 ㅅㅂ

 
대략적으로 떠오르는 피해야되는 바디워시 조건이 이 세가지.

1 오일류 포함된 바디워시

2 향료 들어간 바디워시

3 사이클로펜타실록세인, 다이메티콘 (실리콘계열성분) 들어간 바디워시

 
오일이랑 실리콘계열성분은 모공막는거 때문에 비추래

요렇게만 피해서 써줬는데 바로 효과 봤어

물론 다 나랑 맞진 않겠지만 정말 나 주변엔 다 효과본거라 알려주고 싶다
  "
630,우리 소름&무서운썰 풀자,"시작!



나부터 풀자면 내 이야기는 아니고 친구 이야긴데 걔가 어느날 학교 운동장에서 놀고있었는데 어떤 할아버지가 내 친구를 부르셨나봐 그래서 친구가 가까이 가고있는데 뒤에서 같은학년 남자애가 내 친구 불러서 친구가 뒤 돌아봤다가 다시 앞에 봤는데 그 할아버지가 칼인가? 꺼내고있었다한거 듣고 진짜 소름이였어,, 이거 듣고 세상에 미친사람들 진짜 많다고 느꼈었어

이제 곧 새벽인데 너희도 소름&무서운썰 풀어주라!
내 썰같은거 말고 귀신 이런걸로 풀어도됑
많이많이 풀어주면 고마울거같아ㅠㅠ 나중에 보러올 애들은 댓글에 ㅇㄷ 적어나도돼! "
631,아 얘네 또시작이네ㅋㅋㅋㅋㅋ,"사재기의 계절 여름이 돌아온다 부릉부릉


황인욱 ‘취했나봐’ 음싸별 순위
자료 ㅊㅊ 가온차트갤 "
632,돈안갚고 튄 이모 (+엄마에 대한 배신감),"한번만 읽어주세요..

어디부터 얘기해야할지 모르겠지만...
저희 이모가(엄마 바로 아래동생) 20여년전에 저희집에 여러차례 돈을 빌리고 안갚은채 잠적했습니다.
당시 이모가 이모부 돌아가시고 보험금으로 옷가게한다 호프집한다 하고 다 말아먹고 아빠 몰래 엄마한테 돈 야금야금 빌리다가 엄마가 보증까지 서 주면서 결국 억대로 불어난 돈을 갚지도 않고 야반도주했고 빚덩이와 차압 여러가지가 원인이되어 압류가 되었습니다. imf 시절 힘들때였는데요.

그 충격으로 아빠는 쓰러지시고 저희 식구는 46평 아파트에서 9평짜리 셋방으로 옮겨왔고 꿈도 다 포기한채 아빠 병원비에 저희자매는 안해본거 없이 수많은 알바까지 하며 힘겨웠지만 아빠가 다시 건강해진다면 이 까짓것 아무것도 아니라고 여기고 굳세게 버텨왔고 세 자매의 우애는 끈끈해졌습니다.

지금은 막내동생 빼고 저와 언니는 가정을 이루고 행복하게 살고 예전만큼은 아니지만 빚갚고 잘살고 있습니다. 한가지 속상한건 본인도 몰랐던 빚때문에 마음고생하다가 병 얻고 속상해하시던 우리 아빠가 이제 이세상에 안계신다는 사실입니다.
지금도 글쓰면서 아빠생각에 눈물이 주르륵 흐르네요.

저희 자매는 이모를 찾으려고 수소문 했지만 찾을수 없었고 이모의 외동딸이 성씨가 특이해서 걔 이름으로 싸이월드도 찾아보고 페북이나 각종 sns를 다 뒤져봐도 찾을수가 없더군요.
엄마와도 외삼촌이나 다른 이모와도 연이 끈어졌는데 엄마와 제일 친해서 돈은 엄마한테만 꾸었답니다. 외삼촌이나 큰이모는 옳은 말을 직설적으로 하시는편이라 이모랑 사이가 안좋았구요.

그렇게 20여년을 없는사람 셈 치고 살았는데 저희 외할아버지의 어머니가 아직까지 생존해 계십니다(올해 103세이시고 엄마의 친할머니이며 제 외할아버지는 돌아가셨습니다.) 증조할머니 요양병원에 가면서 코로나때문에 출입제한이 있다가 완화되면서 명부작성하는게 있는데 그 이종사촌동생이랑 성씨만 같고 이름이 다른 여자이름이 있길래 조심스레 외워서 인스타에 검색해보니 놀랍게도 이모 딸이었습니다. 인스타보니 이미 저처럼 남자만나 결혼하고 가정을 꾸렸더라구요.

근데 소름끼치는게 얘 인스타 결혼식 사진에 우리엄마가 한복을 입고 환하게 웃으며 있더라구요.. 정말 소름이 끼치고 분노가 차올랐습니다. 그동안 이모 소식모른다고 20년을 침묵으로 일관했는데. 제가 사촌동생에게 디엠보냈는데 읽씹하고 절 차단하더군요. 언니한테 말하니 언니 한걸음에 달려와서 엄마한테 따지니까 엄마 계속 모르쇠로 일관하고 증거로 결혼식 사진 보여주려고 인스타들어가니까 비공으로 돌려놨구요

정말 엄마한테 배신감 너무들고 외삼촌이랑 이모한테 연락해보니 본인들은 결혼식 간적없고 연락처도 모르며 더욱이 증조할머니 요양병원 조차 알려준적이 없다고 합니다.

엄마가 모르쇠로 일관하는데 어떻게해야 현명한 방법일까요? 남자집인지 모르겠지만 사촌동생은 신도시 아파트에 사는거 같고 이모도 재혼하신것 같아요.

차용증도 없고 증거도 없고 이제와서 돈을 돌려받기 힘들거란거 압니다. 하지만 전 참을수 없습니다. 지금 둘째 임신중인데 스트레스받고 화낼기운도 없고 엄마가 너무 혐오스럽고 증오합니다.. 저희자매들은 엄마한테 분노했고 막내동생은 지난주에 짐싸가지고 집밖으로 나왔습니다.

지금저가할수있는게 없을까요. 아빠를 생각하니 불쌍하고 수많은 시간 고생한 내 젊은 청춘 떠오르니 눈물나고 입싹닫고 아무렇지도 않은척 이모랑 내통하고 있었던 엄마를 생각하니 화가납니다. 너무 원통하고 원통합니다 "
633,+)추가함)내 동생 어렸을 때 ㅈㄴ 사이코 같았었다,"내용 혐주의



내 동생이랑 나랑 5살 차이가 나는데 내가 중2때 얘가 10살이잖아 근데 내 동생이 어렸을 때부터 되게 벌레에 대한 공포나 두려움이 없었음 오히려 재밌다고 콩벌레 굴려서 짓이기고 개미 손에 잡아오고 그랬었는데 나는 벌레 진짜 개혐오해서 벌레 좀 집앞이나 집안에 가져오지 좀 말라고 발악을 했단 말이야. 그때는 알았어 하고 다시 벌레 담은 통 들고 쫑쫑 나가서 혼자 벌레 죽이고 놀았어.

그리고 어느 날 내가 엄청 화를 낸 사건이 하나 있었거든? 얘가 내 물건 같은 걸 다 가져가서 지 친구들한테 나눠주고 다닌 거야 내 화장품이나 인형이나 그런 걸 허락도 없이. 왜 그랬냐고 물어도 그냥, 그냥 거리면서 입 딱 다물고 있는데 너무 화가 나서 막 소리를 질렀단 말이야. 심지어 상습범이었음. 그 전에는 내 지갑 훔쳐서 돈 뿌리고 다니거나 문구점 가서 갖고 싶은 거 죄다 사오거나. 그때 문구점에 팔찌나 그런 거 많이 팔았잖아. 필기구나 그런 거 말고도 악세사리나 잡동사니 같은 거. 그걸 사서 집에 숨겨놓고 그러다 나한테 들켰었어. 하여튼 그때도 주의 주고 말았었는데 또 저지르니까 너는 언니 말이 우습게 들리는 거냐고 붙잡아서 앉혀놓고 훈계를 막 했다? 애 때릴 수도 없어서 그냥 윽박만 엄청 질렀는데 그래도 애가 미안하다는 말을 안 했어. 나 엄청 노려 보고 주먹만 꾹 쥐고 있고. 그날 저녁에 부모님께 말씀 드리니 놀라서 애기가 자기 언니 물건 예뻐서 자랑하고 싶었나 보다, 과시하고 싶었나 보다, 우리 큰딸이 한 번만 봐주자 하고 용돈 더 주셨어. 그래서 넘어갔고 화장품은 고등학생 되면 사지 뭐 하고 틴트 두 개만 더 산 상태로 상황은 일단락됐는데 그 주 주말이 문제였음.
나는 평일에 등교를 되게 일찍하는 편이거든? 학교가 버스 타고도 거리가 꽤 있어서 초등학생 때부터 7시 반이면 출발했었는데 그러고 보니 주말이면 꼭 늦잠을 잤어. 아침 거르고 해가 중천에 떴을 때나 일어났었는데 그날따라 몸이 엄청 가렵고 따가워서 눈이 일찍 떠졌어. 뭔가 싶어서 안경 끼고 침대 위에 보니까 무슨 미친 개미가 조카 있는 거야 난 내 방에서 군것질도 안 하는데 하물며 침대에서; 비명 지르고 울면서 뛰쳐나왔는데 그때 발에 뭔가 채였어. 모래 들은 종이컵... 이 새끼가 내가 소리 지른 거 속에 담아뒀다가 벌레로 복수한 거임 싸이코패스인줄 알았다 진짜... 부모님한테 전화해서 울고 불고 하니까 동생은 엄청 혼나고 울었음... 왜 그랬냐고 물으니까 언니가 화내서 미웠다고... 그 이후로는 약간 결벽증 생겨서 꼭 자기 전에 침대 털고 방문 잠그고 자. 청소도 이틀에 한 번은 꼭 하고 바퀴벌레 패치도 붙이고. 그 이후로는 동생이랑 거의 말도 안 하고 지냈어. 요즘도 벌레 갖고 노는 거 같지는 않음 대신 화장품 엄청 사고 부모님한테 성질 엄청 내고 그럼. 일진놀이 하는 거 같음. 내 물건에 손은 더 안 대고...


이제 여름이라 작년에 붙인 바퀴벌레 패치 다시 떼고 새로 붙이다 생각나서 적어봄... 개미에 트라우마 생겨서 체육 시간에 운동장이나 스탠드 절대 못 앉아 여름에. 허벅지 기어올랐을 때 울고 거의 실신했음ㅋㅋㅋㅠㅠ


+)

헉 이렇게 많이 봐줄 줄 몰랐어 공부하느라 폰 잘 안 봐서 몰랐네ㅠㅠ
댓글이 너무 많이 달려서 본문에 추가할게. 우선 이 이야기는 4년 전이고, 지금 동생은 올해로 중1이야. 저 사건 이후로는 거의 남남 수준으로 말없이 지내고 있는데 동생이 사고친 적도 더 없어.
너네가 생각한대로 우리 부모님이 맞벌이 부부셔서 자식들에게 제대로 된 훈육을 해준 적이 없었고 그렇게 큰 사랑을 주신 적도 없거든? 나는 그나마 맏이라서 유치원 졸업하기 전까지는 나름 사랑받고 컸는데 동생의 경우는 아니었던 거지. 아마 관심이나 애정 받고 싶어서 그랬던 거 같아 행동이 지나치게 과했지만... 막내인 자기에게는 소홀한데 나한테는 막내 잘 부탁한다, 네가 이 집의 기둥이다, 이렇게 따로 신경써주시니까 동생은 내가 되게 싫었을 거야. 그래서 사과 안 한 거고...

추가로 말하면 내 물건 훔치고 그런 건 친구들이 공짜로 선물 주면 좋아하고 놀아줘서 그랬던 거 같다고 부모님이 언제 한 번 따로 알려주셨었어. 내가 이 얘기를 안 써서 다들 많이 걱정하고 대신 욕해준 거 같아. 어폐가 있었네 미안해ㅠㅠ(표현 수정했어. 어폐가 있다라고 쓸지 오해의 소지라고 쓸지 고민하다 실수로 섞어서 써버렸네) 그래도 뿌린 돈만 7만원 넘는 건 용서 못할 만하잖아 그치?

그래도 물론 이 이유만으로 내가 동생을 용서하기에는 트라우마가 심해서 아직까지 데면데면하게 지내고 있어. 얘 때문에 여름 내내 신경 곤두세우고 다니니까. 사실 어차피 나는 집에 오래 있지도 않아서... 학원 다니고 독서실 다니고 하다 보니 동생이랑 마주칠 일도 얼마 없어. 애답지 않게 화장 진한 것만 알고... 약간 일진에 대한 환상? 같은 게 있어서 조금 비뚤어진 거 같기는 한데 다들 우려대로 큰 사고는 친 적 없어. 용돈 더 달라고 떼쓰는 거 빼면.
아 그리고 걔도 벌레 이제 싫어하는 거 같더라. 나도 글쓰다 생각나서 부모님께 잠깐 여쭸었거든. 걔 아직도 벌레 갖고 놀고 그래요? 하니까 이제 집안에 파리 한 마리 들어와도 놀라서 소리지른다고 그러시더라. 싫어한다고. 좀 어이없었다...

다들 검사 받아보라고 하는데 동생이 지금까지 그 미친 사이코처럼 굴었으면 나도 진지하게 상담 보내보고 알아봤겠지? 그런데 매년 내 생일마다 넌지시 생일 축하해 언니... 하고 지나가는 것도 그렇고 이제 쎄한 기미도 안 보여서 일종의 헤프닝쯤으로 생각하고 있어. 친구도 질 좋은 친구는 아니지만 여럿 있는 거 같고... 감정에 공감 못하는 거 같다고 우려해줬는데 애도 이제 웃기도 하고 울기도 하고 많이 그래. 친구랑 통화하는 거 보니 그러더라고? 부모님이 혼내실 때 펑펑 울면서 잘못했다고 하는 거 보니 감정 변화나... 그런 거에 문제는 없는 거 같아 솔직히 어렸을 때의 얘가 정상이었다고 할 수는 없지만...

우리 부모님의 교육이 잘못됐다고 하는 댓글 보고 이 얘기도 할게! 나도 부모님 잘못이 있다고는 생각해. 전부 설렁설렁 넘어가고 덮기에 급급하셨으니까. 그런데 내가 개미 때문에 거의 혼절할 것처럼 울고 난리를 피우니까 어머니도 그제야 동생 엄청 엄하게 혼내고 체벌하고 그러셨어 매 든 적 한번도 없으셨는데... 아버지도 상황 듣더니 안 말리셨고. 호되게 맞고 정신차렸는지 내 물건에는 손도 안 대고 방도 안 들어오더라. 혹시 몰라서 한달 정도는 문틈이나 서랍에 메모지 작게 잘라서 끼워뒀었거든. 요즘 코로나 때문에 밖에 못 나가서 하루종일 집에 있는데도 갈등 빚은 적 없으니까 너무 걱정마! 어차피 나는 내년이면 독립할 거야ㅎㅎ... 문도 꼭꼭 잠그는 거 습관됐어. 동생도 말 안 걸고 나도 말 안 거니 교류도 없고 무슨 꿍꿍이 있는 것 같지도 않아! 어렸을 때는 내가 봐도 진짜 이 미친 사이코새끼라고 생각했지만 지금은 걍 가오 잡는 중딩이야... 팔은 또 안으로 굽는다고 동생 욕하는 거 보니까 싱숭생숭하네 나는 언니 노릇 한 것도 없는데ㅋㅋ

아 댓글에 바퀴벌레 패치 효과 있냐고 물어보길래 적는데 나는 애초에 혹시 모르니 붙여둔 거라서 잘 모르겠어ㅠㅠ 바퀴벌레 나올 환경이 아니야... 근데 거실이나 베란다에도 붙여놨는데 그거 먹고 뒤진 바퀴벌레가 가끔 발견되기도 한대 나 놀랄까 봐 금방 치운다고 하셔서 말로만 전해들었어.

추가글까지 읽어줘서 고맙구 적극적으로 해결책이나 내 걱정까지 해줘서 고마워! 혹시 모르니 동생 눈에 거슬리지 말라고 하던데 정말정말 조심하고 있어! 엄마가 저녁 먹으래 언니 이런 일상적인 부분에서 가끔 얘가 먼저 말 걸면 순순히 응 갈게 이 정도로 대답하는 선에서 지내고 있으니까 위험할 건 없다고 생각해

글 안 바꿔! 어그로글 아니야!
짤은 너네 글 읽고 속 안 좋을까 봐 치유하라고...♡ "
634,엔시티 코디 ㄹㅇ 총체적 난국,"문태일 도망쳐...











레귤러땐 예뻤음 ㅆㅂ 사먼세랑 슈퍼휴먼때부터 슬슬 또 이상해짐ㅜㅜ눈물난다 뾰족구두 일수룩 씨ㅡ발

+이게 왜 톡선? 당황스럽다... 그런 의미에서 해찬이 엉덩이바지 사진 뿌리고 간다
++엔시티 코디는 댓글 정독해라 문태일 ㅈㅂ 머리좀 길러줘 터치때 머리 한번만 더해돌라고 우리동네 미용실이 헤디보다 더 예쁘게 자른다;;

아이스크림 퍼먹다 차력쇼 한 문태일 보고가라...ㅅㄹㅎㅁㅌㅇ... "
635,남편통장 갖고 있다는 시어머니 글을 보고..,"며칠전에 남편통장 갖고 있다는 시어머니 글을 봤어요
남 일이 아닌 제 일이라 저도 글을 쓰네요

저는 결혼 3년차 이제 돌 아기를 데리고 있는
육아휴직 중인 엄마입니다.

결혼 전에 각자관리 하기로 했었죠
신랑이 먼저 제안했고, 저도 재테크 쪽에 소질이 없어서
동의하고 각자관리로 시작했어요
공동적금 각자 얼마씩 넣고 공동 생활비
얼마씩 넣고 이렇게요

결혼생활 시작하면서.. 한 6개월 정도 됐을때였나..
시어머니가 남편통장을 관리하고 있다는걸 알게 됐죠
제가 워낙 무딘 편이라.. 그냥 아무 생각없이 지냈었어요
그냥 아기가 생기면 부부경제가 자연스레 합쳐지겠거니
했었거든요..
근데 아기를 낳았는데 경제가 합쳐지진 않고
계속 시어머니가 생활비+약간의 적금을 보내주시더라구요

화가 나서 신랑한테 뭐라고 했어요
왜 통장을 계속 시어머니가 가지고 있느냐 했더니
각자관리하기로 한 거 아니였느냐 엄마가 돈 떼먹는 것도 아닌데 왜 문제인 것이냐 이러더군요

각자관리하기로 했던건 맞지만
나는 오빠가 관리하는줄 알았지 시어머니가 껴있는건지 모르지 않았느냐, 통장 오빠가 관리해라 했더니
알겠다 하고 그 뒤 자기가 통장 가져왔다고 하더라구요


근데 몇개월 지나서 어쩌다가 카톡 내용을 봤는데
어머니가 신랑한테 보내신 내용
[돈 부쳤다. ××이한테 돈 보내라]
였어요 그냥 시어머니가 계속 관리하고
생활비+적금만 건너건너로 보내주고 있던 거죠
정말 배신감이 이루 말할 수 없었어요

그 뒤 다시 한 대화가

저: 나는 우리가 부부가 아닌 것 같고 룸메같다, 나는 오빠에
대해서 아는게 없다 오빠는 정신적으로도 경제적으로도
독립이 안되있는 사람이다 그냥 시부모님하고 살았어야
할 사람이다

신랑: 독립이 완전히 안되있는건 어느 정도 인정한다 그렇
다고 본인이 마마보이는 아니라고 생각한다
그럼 너가 생각하는 가정은 무엇이냐

저: 남들처럼 평범하게 사는거

이렇게 얘기했더니 더 얘기를 안하더라구요
며칠 심각하게 고민하는 것 같더니
다시 그냥 원래처럼 행동하려고 하네요
아무일 없던 것처럼..

저는 지금 그 모습이 너무 보기 싫어
대화도 피하고 무시하고 있구요...

저희 부부 문제가 있는거 맞지요
어떻게 해결해야 할까요..ㅠ

참고로 시어머니는 아들 바보세요..
분명한건 아들돈 허투루 쓰실 분은 아니세요.. "
636,어릴때 그리운 추억 적고가자,"어렸을때 돌아가고 싶었던 순간이나 그리운거 쓰고가자 ㅠㅠ 고3 벗어나고 싶다 ㅎㅋㅎㅋㅎ
+지금 고3은 초3까지 놀토았었대
난 딱 초2?때까진가 놀토가 있었거듄.
그래서 항상 학교가는 토요일이면 8년 좋아했던
남사친이랑 내 아파트 놀이터에서 다른 베프들이랑 경찰과도둑, 인라인 타기 하던거 진짜 너무 그리워ㅠㅠㅠㅠ
계절냄새 맡으면 항상 그때가 먼저 떠오른다
항상 그때 같이 놀았던 친구들이랑 내 어린 모습이 기억에 박혀있어 생생해 "
637,얘드라 설레는썰 풀자 ❤ ٩(❛ัᴗ❛ั ๑),"시작!



나는 몇 년 전 일이긴한데 딱 1월 1일 되는날에 현짝남이랑 소소한 이야기하면서 카톡했던거! 별건 아닌데 그때는 서로 좋아해서 되게 설렜었어ㅎㅎ (지금은 나만 짝사랑하는중이고) 그리고 그 날 되게 기분 좋게 잠들었던거같아! 지금 당장 기억나는게 이거밖에 읎다... 미안ㅠ

너희도 설레는썰 많이 풀고가주랑 기대할게 ♥^~^♥
주작 ㅆㄱㄴ 그대신 티 안나게 "
638,셤기간이자나 셤꿀팁&입시&공부썰 풀자,"셤 안보는 학교도 잇겟지만 생각나는거 다 풀자 우린 셤 3주남음 ㅠㅠ 이 글 보는 모두가 다가오는 시험에서 노력한것보다 훨씬 더 만족할 수 있는 성과 얻길 ᕦ(ò_óˇ)ᕤ 파이팅이다 얘들아 짤은 사바사인듯



앗 얘들아 닉넴 깜박했다 ㅠㅠ 닉넴은 “페북꺼져” ( ͡° ͜ʖ ͡°) ㅇㅋㅇㅋ ?








댓글로 계속 짤풀께 - "
639,❤️진심 개이쁜 립 추천해줌❤️,"이건 ㄹㅇ 너무 잘쓰는거 릴바레 사과필링인척이야 (페북불펌금지)핑크끼 하나도 안돌고 레드정석임 (페북불펌금지)근데 넘예뻐..........
이건 바르면 ㄹㅇ 귀욤탱탱해짐 (페북불펌금지)페리페라 품절대란이야 (페북불펌금지)여쿨라한테 추천
이건 진심 너무 예쁨 (페북불펌금지)롬앤 레드드롭인데 내가 매트립 개좋아하거든 (페북불펌금지)원래 이런 광나는거 싫어하는데 (페북불펌금지)이건 너무좋음 촉촉립치곤 지속력도 오래가고 발색 저 사진 그대로임
이건 너무유명한 롬앤 피그피그 ... (페북불펌금지)쌩얼에 발라도 이쁨 (페북불펌금지)그냥 너무예쁨..단독으로 쓰는걸 더 추천함
+)피그피그 손목 발색이야!
이건 페리페라 감성착장이야(페북불펌금지) 이거도 ㄹㅇ 넘 이쁨 (페북불펌금지)페리페라 잉크 더 에어리 벨벳 스틱인데 이 라인은 진짜 다이뻐...❤️
너네가 좋아해줘서 (페북불펌금지)방금 바르고 바로 찍음ㅋㅋㅋㅋ 이건 롬앤 아이시야 (페북불펌금지)이거 바르고 진심 감격함.. 나 원래 립 첨에 바르고 실망하기가 대부분이였는데 (페북불펌금지)이건 진짜 넘 이뻐 분위기도 있고.. 꼭 발라❤️
————————————————————

사진 다 내 입술사진이야! 혹싀 반응 좋으면 더 올릴겡❤️❤️ 아 참고로 색깔보정은 단 하나도 안했어! 그니까 안심하고 발색믿어두돼❤️❤️
.
+)더 궁금하면 인스타 들어오라고 아이디 적었는데 왜 홍보하냐고 하는 댓이 있어서.. 미안...ㅠㅠ 혹시 너네가 더 궁금할까봐 알려주려고그런거야.. 미안해!! 내가 생각이 짧았나봐 갑자기 관심받아서 당황했어...ㅋㅋㅋ 다들 고마워❤️❤️ 그리고 입술 밑에 인스타마크도 다 지웠어ㅠㅠ ❤️❤️
와...이런날이 또 올까...애들아 너무 고마워❤️❤️❤️❤️❤️❤️❤️인스타 아이디 알려달라는 애들이 진짜 많아서 부탁하면 댓글로 알려줄게 다들 고마워❤️
️ 더 올려달라는 애들이 자꾸 보여서 ㅠㅠ 이거라도 올릴게 레드드롭위에 글리터 섀도우 바른거얔ㅋ큐ㅠㅠ 나도 더 많은 립들 추천해주고싶지만 이제 더이상 립이 없어..ㅠㅠㅠ 혹싀라도 생기면 더 올릴게 !❤ "
640,살면서 영화같았던 일 적어보자!,"이번에는 영화같았단 썰 보고싶다는 얘기가 많아서 이걸로 가져와봤어!!
재밌는 주제 추천해주고 댓글도 많이 달아줘서 고맙당❤️
약간 공부에 지장있을정도로 댓글들 넘 재밌어ㅋㅋ큐ㅠㅠ
보고 싶은 주제 있으면 계속 적어줘. 다 메모하고 있어

난 내 삶이 공포영화같다고 생각했던때가 있었는데
그게 딱 고1때 가위를 일주일에 무조건 거르지 않고 다섯번 걸릴때였어ㅠㅠㅠ
한 1~2주 그렇게 가위가 걸리니까 막 공포영화에서처럼 집 터가 안좋은가?? 라는 생각이 들었었음.
근데 걍 내가 피곤했던거ㅋㅋㅋ "
641,어릴적 순수했던썰 풀자!,"시작!



나는 초등학생때 아빠가 면도기로 면도 하는거 보고 나중에 혼자 화장실 들어가서 면도기로 수염도 없는 턱 깎았다가 상처난적 있어 ㅋㅋㅋㅋㅋㅋ 그래서 턱에 딱지 생겼던 기억이 난당...

너희도 어린시절 순수했던썰 댓글로 많이 풀어주라!
그리고 항상 재밌는 댓글 많이 달아줘서 고마워♡
댓글 거의 다 읽고있어 "
642,짝사랑 때문에 해본 짓 적어보자,"읽고싶은 주제 계속 말해줘!! 학교 끝나고 댓글읽는거 넘 재밌어ㅠㅠㅎㅋㅎㅋ❤️

시작!!

난 짝사랑하는 애 관심받으려고 걔 아이스크림 셔틀 자원지원하고 담넘음;;
내가 왜그랬지...? 암튼 그래서 학주쌤한테 처음이자 마지막으로 혼남 "
643,김우석 홈마 징역 2년 6개월 받았대,"작년 9-10월 김우석 홈마 멜리플루어스가 슬로건 먹튀했는데 피해자 10명이 모여서 고소했고 2일 전에 징역 받았다고 문자왔대

그니까 먹튀를 왜 해서.. "
