,제목,내용
1043,"[OTT오리지널]웹예능 '머니게임', 현실이 되다",왜 머니게임에 분노할까 
1044,"[넘버스]현대차 127%, 삼성전자 25%...실질 법인세율 다른 이유",현대차 실질 법인세율 127.4%...LG화학은 55.3% 
1045,"“10대 노린 마약 딜러들, 강남 유명학원가 누빈다”",10대 마약사범 5년째 늘어 
1046,"머스크, 가상화폐 폭락시킨 그날 ‘가상화폐 테마 파티’","고급호텔서 SNL 출연 축하 모임
“도지코인 사기” 발언에 투자자 손실
反머스크 ‘스톱일론’ 가상화폐 등장
상장 첫날 가격 5배이상 치솟아 "
1047,'한강 입수남' 정민씨 맞다면…친구 발견 전후 어딨었나,"진상규명 새국면…3시38분 이후 ‘사라진 1시간’ 핵심
경찰, 입수자 신원 파악에 총력…토양성분 비교 분석중 "
1048,방미중인 文 대통령에 '이재용 사면' 건의한 美 재계,"FT ""주한미상공회의소, 이재용 부회장 사면 촉구""
삼성, 국내 171조원 이어 美 20조대 투자 발표임박 "
1049,정민씨 발견 20여일 됐어도 의혹 여전…'스모킹 건' 나올까,"경찰, 실종 당일 '한강 입수' 남성 신원파악 총력
곽대경 ""근거 없는 의혹 제기 경찰 수사에 혼선"" "
1050,"""사다리 끊어진 시대"" 암호화폐 '영끌' 투자했는데 폭락…2030의 절규","비트코인, 4260만원까지 떨어진 뒤 5000만원선까지 소폭 회복…알트코인도 폭락
일론머스크 발언+中 규제 리스크 등 복합 작용…암호화폐 커뮤니티선 하소연 잇따라 "
1051,"‘버닝썬 경찰총장’ 윤규근, 무죄 뒤집혔다","2심, 미공개 정보 이용 주식거래 등 일부 유죄…벌금형 선고
버닝썬 덮으려 ‘김학의 물타기 의혹’ 수사 재개 여부도 촉각 "
1052,"'머스크 미워'…비트코인, 한달 새 반토막",머스크 잦은 돌출 행동·중국발 규제 강화에 가격 폭락 
1053,"""이 가격에 굳이…"" 잘 나가던 한식 뷔페 '멸종 위기'","자연별곡·계절밥상·올반 등 매장수 급감
외식 트렌드 변화 및 코로나19 장기화 영향
HMR·RMR·1인메뉴 등 선보이며 소비자 공략 "
1054,"""온라인 짝퉁 판매 꼼짝마""…AI로 23개國서 잡아낸다","라이징 AI스타트업 (3) 마크비전

이미지·리뷰로 의심 사례 판별
네이버·쿠팡·아마존서 자동탐지 "
1055,"LG화학 ""담수화 필터, 중동서 주문 폭주""","'역삼투압 필터' 공장 가보니

바닷물, 식수로 바꾸는 RO필터
염분 제거율, 듀폰·도레이 압도
가격 30% 올려도 주문↑…풀가동

사업 7년 만에 글로벌 '톱3'
""제2의 배터리로 키우겠다"" "
1056,“‘10억 코인’ 나오면 2030 모두 부자?”…가상화폐 제도화 위한 질문들,"정부, 특금법 기반으로 제도화할 듯
국회, 별도법으로 투자자 보호 추진
전문가 “가상화폐 사회적 가치 논의가 먼저” "
1057,전 세계적 커피 수급 불안…커피 가격 “앗! 뜨거워”,■ 브라질 아라비카 수확 본격 시작...수급 불안 예상 
1058,“어디서 고대생 흉내야?” 세종캠 학우에 도넘은 ‘사이버 폭력’,"총학 비대위 간부 인준하자 신상 털며 조롱
“왜 세종 학생이 서울캠퍼스 총학 활동하냐” "
1059,농협은행 직원들 카드연체 막으려 전산조작했으나 당국은 과태료만 부과,"7명이 전산조작해 106건, 3억7천만원 가짜 입금처리
금융당국, ‘중대’한 위반이나 피해 없어 ‘경미’하다며
과태료 180만원~2500만원만 부과
한 위원 “‘중대’하면서 ‘경미’하다는 평가는 모순” 지적 "
1060,[단독] ‘우유병 바디워시’ 애들 마실라…위험한 협업에 제동,"식약처, 화장품법·식품표시광고법 동시 개정 추진 "
1061,“광주에 대포 못 쏩니다” 군복 벗고 ‘무궁화 주유소’ 차린 장군,"육군기갑학교장 이구호 준장
황영시 참모차장 “전차 동원” 지시에
“시민에게 발포하란 말이냐” 정면 거부
신군부들 승승장구하던 1981년 예편
5·18 수사 때 황 차장 만나
“지금이라도 진실대로 말하십시오” "
1062,합의금 2천만원…회사는 엄마의 죽음을 지우자 했다,"아들 치료비 부치던 중국동포 끼임사
합의금 2천만원 종용 속 쓸쓸한 장례식

50대 강선화씨 세척기에 목이 끼는 참혹한 사고
치료 한달 만에 사망…유족들 경위파악도 어려워
중국동포·이주노동자 많은 소규모 부품업체
중대재해법 사각지대…회사엔 별반 제재 없어 "
1063,"이틀에 한층씩 올린 中 75층 건물, 좌우 흔들려 '혼비백산' [영상]","지진 발생 없이 옥상 구조물 흔들려
소방당국 현장 폐쇄 후 원인 조사중
2.7일 만에 한 층씩 올린 초고속 공사 "
1064,"위험해 집 안에 두니 창문으로 추락... 벼랑 끝 장애인 안전 [""하루만…"" 힘겨운 장애 가족]","<3> 안전: 하루라도 맘 편히
장애인 특성 맞춘 사고 예방·대응 체제 미비
추락 땐 4배, 화재 땐 5배 사망 비율 높아져
""교육 받은 조력자가 장애인 안전대책 핵심"" "
1065,"""결혼 사실 숨기고 수개월 만난 유부남 검사 감찰해달라""","청와대 국민청원 게시판에 청원글 게시
진정 접수했지만 검찰·법무부 미온 대응
검찰 ""진정 사건에 대해 조사 등 진행 중"" "
1066,"'자식이 뭐기에' 변호사 아들에 맞고 산 의사 아빠 ""선처 부탁""","별다른 이유 없이 60대 아버지 상습적 폭행 
시비 도중 차로 사람 치고 이성엔 스토킹 문자
부친 ""사랑으로 못 감싸줬다"" 재판부에 탄원 
법원 ""우울증과 부친 탄원 참작"" 집행유예 선고 "
1067,고기·즉석 식품을 많이 먹는 2030이 설사·복통이 잦으면…,"염증성 장 질환, 20~30대가 40%가량 발생 "
1068,"김부겸 “오른 집값, 사회환원돼야”… 종부세 완화 송영길과 충돌","與, 부동산 세제 완화 갈등 확산 "
1069,"[단독]軍, 훈련복도 불량… 땀 흡수 안돼 ‘사제 옷’ 입는 장병들",부실급식 이어 불량의복 총체적 난맥 
1070,'한강사망' 정민씨 사건 포인트로 '술' 꼽은 표창원,"""객관적 증거 발견 전 목격자 나와""
""A씨 친구 입장문 주목할 필요 없어"" "
1071,"[영상]""잘 가, 전 남친"" 9,500km 날아와 남산공원 자물쇠 끊은 美 20대",[서울경제 짤롱뉴스] 
1072,"이틀에 한층씩 올린 中 75층 건물, 좌우 흔들려 '혼비백산' [영상]","지진 발생 없이 옥상 구조물 흔들려
소방당국 현장 폐쇄 후 원인 조사중
2.7일 만에 한 층씩 올린 초고속 공사 "
1073,"""정민씨 실종 새벽 수영하듯 '한강 입수' 남성 목격""(종합2보)","인근 낚시 일행 7인 제보…""응급상황 아니라 판단, 신고 안해""
손씨 양말 검출 토양과 목격 지점 주변·물속 토양 분석도 의뢰 "
1074,'정민씨 40분' 결정적 목격·영상에 달렸다…친구 해명에도 미궁,"경찰, 한강 출입 車 154대 블랙박스 포렌식 대부분 완료
손씨 실종 전후 상황 추가됐지만, 과정은 여전히 안갯속 "
1075,"""정민씨 실종 새벽 '한강 입수' 남성 봤다""…7인의 목격자 나와(종합)","인근서 낚시하던 일행 제보…경찰 ""입수자 신원은 확인 안돼""
""신빙성 확인 위해 현장조사…추가 목격자 확보·CCTV 분석중"" "
1076,"""안팔았지롱""…머스크 한 마디에 비트코인·이더리움 韓 가격도 '널뛰기'","비트코인 5138만원→5630만원·이더리움 386만원→432만원 반등
일론 머스크 돌발 발언에 韓 시세도 출렁…'일론알리미'도 등장 "
1077,"[영상]""잘 가, 전 남친"" 9,500km 날아와 남산공원 자물쇠 끊은 美 20대",[서울경제 짤롱뉴스] 
1078,"시노팜 백신 맞은 중국인, 한국 오면 자가격리 면제?···정부 ""검토 중""","'WHO 긴급승인 백신' 접종자 면제 검토
화이자·모더나·AZ·얀센·시노팜 5종 대상
'AZ 맞으면 괌여행 못 간다' 주장은 거짓
""국가 간 상호인증 절차·방법 협의도 진행"" "
1079,"""비트코인 입방정 멈춰""...'反머스크' 코인 나왔다","알트코인 '스탑일론(STOPELON)' 등장
""머스크 암호화폐 '조작' 막아야"" "
1080,경찰 “손정민 실종 당일 ‘한강 입수’ 남성 목격자 있다”,"25일 4시 40분 사고현장 인근 낚시꾼 7명
“수영하듯 강으로 들어가는 남성 목격”
응급구조상황 아니라고 판단···신고 안 해
입수자 신원은 아직 미확인···CCTV 분석 중 "
1081,‘손님살해’ 인천 노래주점 업주는 34세 허민우,"경찰, 심의위 열어 신상공개 결정
“시신 훼손해 유기… 잔인한 범죄” "
1082,[단독]‘감량-재활용-재사용’ 3R로 쓰레기산 악순환 끊어라,"[이제는 Green Action!]
쓰레기 묻을 땅, 턱밑까지 찼다
수도권-광주-대전 매립지 시한 4년… 대체지 조성에 최소 5년 "
1083,조응천 “이성윤 기소와 직무배제가 별개? 그러시면 안 되지”[이진구 기자의 對話],조응천 더불어민주당 의원 
1084,"""빌 게이츠, 사내 불륜으로 이사회 퇴출""...""불륜 사실 인정""","'빌 게이츠와 수년간 사내 불륜' 주장 사실 확인
빌 게이츠 이사회 사임 당시 ""자선 사업 힘쓸 것""
""결혼 생활 중에도 여성들에게 데이트 신청"" "
1085,"[제보는Y] '살해 협박' 신고한 무속인에게...""신이 화났나"" 조롱한 경찰","30대 무속인, 전혀 모르는 번호로 문자 폭탄 받아
허무맹랑한 내용에 이어 살해 협박 문자 시작
""출동한 경찰관, 신에게 잘못한 거 아니냐 말해"" "
1086,"호주 최고령 등극 111살 할아버지의 추천 ""닭 뇌 먹어라""","기억력 너무 좋아 주변인들 놀랄 정도
86세부터 집필해 12권 책 펴내
젊을 때 운동 즐겼고 가족들도 장수 "
1087,"경찰 ""손정민 실종날 '남성이 한강 입수' 제보 확보""(종합)","""입수자 신원은 아직 확인 안돼""…주변 CCTV 등 분석 중
경찰 ""사망 전 행적 확인에 총력…믿고 결과 지켜봐달라"" "
1088,"경찰 ""손정민 실종날 '한강 입수男 봤다' 제보 확보""(종합2보)","""입수자 신원 미확인""…목격자 ""수영하는 것처럼 걸어 들어가""
주변 CCTV·손씨 양말 흙성분 분석…""수사 믿고 지켜봐달라"" "
1089,"인천 노래주점 손님 살인범 허민우, '꼴망파'서 조폭 활동",조폭 활동으로 집행유예·보호관찰 기간 중 살인 범행 
1090,"머스크, 비트코인 지지자와 가시 돋친 설전…""도지코인 올인""","머스크-비트코인 진영 서로 비난…도지코인 개발자 ""전쟁 말라"" 촉구
외신 ""머스크의 지겨운 장난…비트코인 붕괴 임무 맡은 듯"" "
1091,"한순간에 나락…""빌 게이츠, MS 여직원과 수년간 성적 관계""",월스트리트저널(WSJ) 보도 
1092,"사진과 영상으로 본 인도 갠지스 강…“시신 1,000 구까지 추정”","갠지스 강(江)인근 ""시신 계속 발견"" 보도
현지 언론, ""1000구 추정된다"" 밝혀
'수년 전부터 방치된 시신' 설명…주민들 ""신뢰도 낮아""
성스러운 갠지스강에 왜?…'공포감' 이란 분석도 "
1093,[단독]생활고-주거불안 ‘4050 불독族’… 39%가 월소득 200만원 미만,"1인가구 지원 ‘사각지대’ 놓인 4050
대부분 청년-여성-노인 중심 지원… 소득·주거 열악해 맞춤형대책 필요

서울시 “4050 1인가구 집중 지원”
주거-대출-커뮤니티 조성 등 검토… 하반기 병원동행서비스 시범 운영 "
1094,"“민주당 지지하냐는 비하 표현”…20대, 송영길 면전서 작심 비판",與 대표 면전에서 쓴소리 날린 20대 
1095,[단독]홍남기 유임-유은혜 교체 가닥,"시한부 유임됐던 洪부총리
金총리 취임뒤 교체서 기류 변화
경제책임론 부각땐 경질 가능성 "
1096,1∼4월 세계 평균기온 역대 8위…올 여름은 덜 더울까?,"[이근영의 기상천외한 기후이야기]
연 평균기온과 여름철 기온 순위 일치
우리나라 여름 평균 순위는 다른 경향
폭염·열대야 등 더위 요소는 완전 달라 "
1097,1인가구 아파트 특공?…부모 자산 안 따지면 ‘금수저 잔치’,"전체 가구 30%가 1인가구
여당 부동산특별위서 검토중
하지만 분양 기회 주어져도
부모 재력 없는 청년층엔
염장 지르는 ‘그림의 떡’

‘하늘의 별따기’ 분양시장
공급 부족한데 ‘특공’ 늘리느라
신혼-4050세대 갈등까지
1인가구 공공임대 늘리고
주거비 지원 등 정책 검토해야 "
1098,"“쌤, 페미죠?” 교실도 휩싸인 백래시","‘페미니즘 교육 안 통하면 왕따’
진위 확인 안된 청와대 청원 20만명
박나래 등 논란 학교에서도 이어져 "
1099,윤석열은 왜 하필 ‘5·18 메시지’로 침묵 깼을까,정치BAR_배지현의 보헤미안 
1100,"말기암 보아 오빠 울린 ""싸늘한 의사들""···韓 '3분 진료'의 비극","보아 오빠 권순욱씨 투병기 공개
“낫는 병 아니에요” 말에 아픔 토로

의사 “냉정히 안 알리면 소송 당해”
환자 “공감없이 정보만 전해 상처”

“나쁜 소식은 조용한 데서 전하고
환자가 받아들일 소통법 연구를” "
1101,"빌 게이츠 이혼은 외도 때문? ""MS 여직원과 수년간 성관계""","WSJ·NYT 게이츠 외도, 부적절 행동 보도
MS 여성 엔지니어 ""게이츠와 성관계"" 투서
조사 시작하자 게이츠 돌연 이사직 사임
대변인 ""20년 전 외도, 우호적으로 끝났다""
결혼 후에도 여직원에'사귀자' 문제적 행동 "
1102,문손잡이까지 그대로 복제…中 1753억짜리 '짝퉁 타이타닉',"하룻밤 숙박에 35만원..""손잡이까지 그대로"" "
1103,"'한강 실종 대학생' 친구 측 ""실종 당일, 손씨 깨우려 가족들 한강 찾은 것""","17일 '한강 실종 대학생' 친구 측 첫 입장표명
실종 당일 친구 A군·부모 3인, 한강공원 찾아
""자고 있을 손군 깨우기 위한 것""
""A군 혼자 귀가 무책임해보일까"" "
1104,[Pick] 편도 수술 열흘 만에 입 뗐더니…낯선 외국어가 술술,옌 씨는 20년 가까이 거주해온 호주 억양이 아닌 아일랜드의 억양으로 말하고 있었습니다. 
1105,"[입장문] 故 손정민 친구 측 첫 입장 발표…""억측 삼가달라""",● A 군과 A 군의 부모가 기억하는 당시 사실관계 
1106,[뉴스딱] 무단횡단하던 할머니 치여 사망…운전자 무죄 이유?,[고현준의 뉴스딱] 
1107,1년에 10억 우스운 강남… 40대 ‘집값 막차' 탔다 [이슈&탐사],[부동산난맥 4년 ①] 오를수록 몰리는 강남의 역설 
1108,[단독] 서울 강서구에 세금 폭탄…종부세 가구 2년새 350배,부동산 정책 실패로 비강남 지역까지 종부세 대상 가구 급증 
1109,"방탄 RM·이민호·쌈디, 비 뚫고 찾은 '그곳'…역대급 기록 속출","아트부산 4일 만에 8만 명
방탄소년단 RM부터 이민호, 쌈디까지
총 판매액 350억 원, 역대 최고 기록 "
1110,강다니엘·태영호도 먹었다…요즘 2030에 인기 폭발한 음식,"토마토소스 대신 고추장 넣은 '로제 떡볶이' 인기
업계에선 '레시피 도용' 두고 소송전까지 "
1111,역주행 인기 '롤린'…나도 저작권 샀다 '수익률 2070%',"Cover Story
그림·노래·빌딩까지…'소수점 투자' 뜬다

'추억의 노래' 조각 매입
쿨 노래 '아로하' 저작권
10만원에 0.01% 사들여
시세 오르며 50% 수익
2030세대가 핵심 투자자

그림·빌딩도 쪼개 판다
테사·소투 등 소수점 거래소
제프 쿤스 등 작품 소유권
1000원씩 14만개로 나눠져 "
1112,부업으로 번 돈 잘못 신고했다간 '종합소득세 덤터기' 맞을수도,"직장인이 알아야 할 종합소득세 포인트

강연료·인세 등 부수입
年 300만원 넘으면 종합소득세 납부해야

""3000만원 초과 땐 사업소득으로 분류
기타소득이라 신고 땐 '허위신고 가산세' 물수도"" "
1113,[제보는Y] '가로수 날벼락' 맞은 배달기사...보험금 규정 때문에 입원 포기,"30년 넘어 쓰러진 나무… 운전자에겐 '날벼락'
배달 기사 박병선 씨, 다리·허리 등 다쳐
배상금 못 받아 치료비 자비 부담…입원도 포기 "
1114,[팩트와이] 아스트라제네카 맞으면 괌 여행 불가?...'백신 차별론' 팩트체크,"괌 관광청 ""화이자·모더나·얀센 접종자만 격리 면제""
아스트라제네카 백신 맞고 사실상 괌 여행 불가능
美 ""백신 접종자, 자가격리 불필요""…특정 백신 언급 없어 "
1115,오늘 한강서 故손정민 진상규명 집회…父는 유품정리 ‘오열’,"카톡 대화방에서 집회계획 공유
16일 오후 2~4시 한강공원서 집결
父 손현씨, 학교서 아들 유품 정리
“가운·토시 보며 다시 한번 오열” "
1116,"정민 씨 친구측 첫 입장 공개 ""진실공방 도리 아냐···오해는 수사결과로 해소""","MBC 실화탐사대 보도
프로파일러 ""최소한 신고라도 했어야""
16일 진상 촉구 집회 예정 "
1117,"'김부선'이 뭐길래···이재명 ""실망이 크다"" 이낙연 ""불편 오죽하겠나""","경기, 김포-강남-하남 잇는 GTX-D 요구에도
국토부 김포-부천에서 끊기는 계획안 발표
이낙연 17일 김포 골드라인 탑승 예정
이재명 “당연히 경기지사와 협의 해야""
송영길-문재인 간담회 의제 떠오르기도 "
1118,"실화탐사대 방송 후…故손정민 父 ""한강 들어가 볼 생각""","故 손정민씨 친구 측 입 열어…""지금은 고인을 추모하고 유족을 위로할 때"" "
1119,지독한 계급사회 무너졌다…코로나 생지옥 인도의 역설,"중산층 밀집 고급 아파트 단지서 확산
빈민층은 항체보유율 높아 확진률 낮아
중산층 피해 더 심각한 '인도 패러독스' "
1120,[단독]강남대로 옆 3600평 전원주택…'모델하우스왕'의 비밀,"무단으로 산깎고 나무 뽑아 정원 조성
산림자원법 위반으로 300만원 벌금
지난해말 서울시에서 606억원 보상
불법결과로 토지 보상금은 주변 두배 "
1121,"아내 떠난뒤 뚝 끊긴 주택연금, 그뒤엔 연끊은 아들 있었다","[금융SOS]
다음달에 달라지는 주택연금
배우자 사망시 연금 자동승계
전세 낀 단독주택도 가입 가능
압류방지통장으로 노후 보호 "
1122,"""미녀 가방 안에 성인용품이…"" 中 지하철 X레이 사진 유출 '논란' [강현우의 트렌딩 차이나]","성인용품 X레이 사진 소셜미디어에 공유
""보안요원 자격 없다"" 비난 봇물
회사 측, 해당 직원 해고하고 경찰에 신고 "
1123,"""칼을 갈고 만들었다""…삼성·애플 신제품 '이렇게' 나온다 [배성수의 다다IT선]","""하반기가 승부처""
칼 갈은 삼성·애플 스마트폰 어떻게 나올까 "
1124,"한강 실종 의대생 친구 A, 지금까지 침묵한 까닭 [종합]","손 씨 친구 A 측 변호사
""해명은 유족과 진실공방, 도리 아냐""
""억측과 오해, 수사결과 나오면 해소될 것"" "
1125,삼성 없으면 전세계 마비되게…韓 '반도체 방패' 강화해야[황정수의 반도체 이슈 짚어보기],"2000년에 나온 '실리콘실드' 개념
국가 안보에 기여하는 대만 TSMC
TSMC 공격 받으면 전 세계 산업 마비
미국이 중국으로부터 대만 적극 보호

삼성전자도 '반도체 방패' 역할 가능
북한으로부터 한국 반도체 보호받아야

한국 D램, 낸드 없으면 미국이 망할정도로
'초격차' 기술력 더욱 강화해야 "
1126,"""김태희·하정우 빌딩 판 이유 있었네""…내일부터 대출 제한","17일부터 전 금융권 비주택 LTV 70% 적용
""규제 오기 전에 팔자""…거래량·상승세 '역대급'
코로나19로 폐업·공실 증가…되레 매매 수월해 "
1127,"엄마가 때렸냐 ""아니"", 아빠가 때렸냐 묻자 '침묵'","'세 살 아들 폭행 혐의' 베트남 엄마·동거남 재판 중
열흘 뒤 보호소 퇴소 아이 ""머물 곳 찾아야""
하남시 ""관계기관 힘 모아 주길"" "
1128,"""손정민 사건, 경찰도 뉴스도 못 믿겠다"" 수백명, 폭우속 한강 운집(종합)","""정민이는 타살""…한강 앞서 시민들 분노
""CCTV 공개하라"" ""친구 체포하라"" 진상규명 촉구
""자식 가진 부모 마음"" 40~50대 학부모들 모여 "
1129,"""가상화폐로 수십억"" 그 여성…알고 보니 '알바'",MBC뉴스는 24시간 여러분의 제보를 기다립니다. 
1130,"[World Now] 외신 입주 건물도 '폭싹'…""전쟁 아닌 학살"" 이스라엘에 비난 쇄도","이스라엘군, AP·알자지라 방송 등 입주 12층 건물 폭파시켜…""직원들 가까스로 대피"" "
1131,"'정민씨 친구 외삼촌 지목' 전 서초경찰서장… ""사실 아냐""","온라인에선 동석 친구 '가해자 단정, 무분별 신상털이'
'동석 친구 가족'이라며 신상 유출…대부분 '거짓 소문' "
1132,"""아들 같아"" 비 맞으며 시민 200명 한강공원서 정민씨 추모","""진실규명 한목소리""…해산명령 거부하고 행진 이어가기도 "
1133,"궂은 비 맞으며 한강공원 모인 시민들…""정민씨 진실규명"" 촉구(종합)","'미신고 집회' 저지하자 분위기 과열되기도
일부 참가자, 서초경찰서까지 불법 행진 진행 "
1134,"""김태희 빌딩 200억에 팔렸대""…50억 이하 빌딩에 투자금 몰린다","[꼬마빌딩]①1분기 중소형 빌딩 거래 2조원 돌파…4050세대 투자
주택규제로 집 판 다주택자, 대출규제 덜한 꼬마빌딩에 '눈길' "
1135,"뉴욕타임스 ""박나래, '서구 기준' 성희롱 아닌 웃어넘길 일""","박나래 지지자 발언 인용해 '이중잣대' 지적
""한국 남자들은 성희롱 만연하다"" "
1136,"머스크는 계획이 다 있구나…""2019년부터 도지코인 개발자들과 협력""","머스크 '도지' 띄우기 이유 있었나
디크립토 ""핵심 개발자들과 2019년부터 협력"" "
1137,"故 손정민 친구 신상털기 논란...""진상규명"" vs ""위법행위""","'한강 대학생' 검색하니…신상공개 영상 수두룩
얼굴·실명·학교까지 공개…'신상털기' 심각
손 씨 친구 아버지 사업체에 '별점 테러' 행위도
일부 누리꾼 ""신상 노출도 진상규명 과정"" 합리화 "
1138,10대 아들·친구까지 가담시켜 채무자 살해,"60대 남성 납치 살해 후 시신 매장 4명 긴급 체포
업체 직원이 실종신고…A 씨 만난 뒤 행적 끊겨
실종 나흘 만에 하천 변 풀숲에서 시신 발견
채무자 압박하려 10대 아들·아들 친구들 가담 "
1139,박성제 MBC 사장 “광화문 집회 약간 맛이 간 사람들”,"“검찰개혁 집회와 종교적 집회… 1대1로 보도하는게 맞나” 주장
朴, 2년전 조국 지지 집회땐 “딱 봐도 100만명” 발언하기도 "
1140,"[단독]조국, 수사방해-출금 모두 관여…윤대진과 통화뒤 金 출금","[김학의 불법출금 수사]
조사단 ‘출금, 대검 승인’ 요구에 이광철→조국→윤대진→봉욱 통화
1시간여 만에 승인 떨어진 의혹
공수처, 3월부터 曺개입 알아… 직접 수사땐 조사 불가피 "
1141,[단독]모더나 5만회분 이달말 국내 첫 공급,"[코로나 19]21일 사용허가 결정되면 접종 시작
삼성바이오 등 위탁생산 협의 진행중
업계 “이르면 8월 생산 가능할듯” "
1142,"도지코인 50%↑‥""머스크, 2019년부터 개발자와 협업""","도지코인 개발자, 인터뷰 통해 머스크의 도지코인 개선 시도 확인
자금 지원도 제의했지만 거절 "
1143,"하루확진 30만명대였던 美, 코로나 전쟁서 승리",바이든 취임 후 지속 감소…현재 4만명대 아래로 
1144,"한 여대생의 고백 ""용돈 줄 아빠 구해요…또래는 경제력 없어"" [글로벌+]","일본 '파파카츠' 논란
중년남성과 20대 여성 조건 제시해 만남
""1회 10만 엔 주는 유사연애…마음 맞으면 관계도"" "
1145,"""집 팔아 10억 차익에 세금 8억 낼 바엔 차라리 증여""…매물 잠긴다","부동산 세금폭탄 째깍째깍
(5·끝) 다주택자 퇴로 막는 양도세

서울 3월 증여, 3022건으로 지난해보다 두 배 늘어
보유세 부담 더 커진 강남은 832건으로 6배 급증
""집 팔 유인 사라져""…내달 이후 집값 불안 심해질 수도 "
1146,"""가방 하나 사서 60만원 벌었어요""…샤넬 리셀러의 하루 [안혜원의 집에서 돈벌기]","[집에서 돈벌기 1]
샤넬 매장에 몰린 투잡러

명품시장 역대급 호황
매장 개장 2시간 전 70~80명 긴 줄
""돈 있어도 가방이 없다"" 아우성 "
1147,"""미녀 가방 안에 성인용품이…"" 中 지하철 X레이 사진 유출 '논란' [강현우의 트렌딩 차이나]","성인용품 X레이 사진 소셜미디어에 공유
""보안요원 자격 없다"" 비난 봇물
회사 측, 해당 직원 해고하고 경찰에 신고 "
1148,"'김부선'이 뭐길래···이재명 ""실망이 크다"" 이낙연 ""불편 오죽하겠나""","경기, 김포-강남-하남 잇는 GTX-D 요구에도
국토부 김포-부천에서 끊기는 계획안 발표
이낙연 17일 김포 골드라인 탑승 예정
이재명 “당연히 경기지사와 협의 해야""
송영길-문재인 간담회 의제 떠오르기도 "
1149,"빗썸, '카카오 코인' 클레이 상장…발행사와 협의한 건 아냐","""발행사와 협의 없었다"" vs ""탈중앙화 정신에 입각…거래소의 자체 권한"" "
1150,"미국 유명 유튜버 부부 태국, 한국 아기 입양 포기에 뭇매","자녀를 문 애완견 안락사시키자 태국, 한국 아기 입양 포기했던 사실도 뒤늦게 비판받아 "
1151,이스라엘 지상군 공격 ‘미끼’였다…하마스 지하시설 파괴,실제 지상군 움직임 없어…하마스 움직이자 지하시설 공습 
1152,"이혼 빌 게이츠 부부의 맏딸, 아버지와 친밀한 관계 공개","지난해 약혼 발표한 게이츠 부부 장녀, 아버지와 함께 찍은 사진 공개 "
1153,"화물차 적재물, 뒤따른 차량 덮쳐…9살 여아 사망｜뉴스브리핑","1. 화물차 적재물, 뒤따른 차량 덮쳐…9살 여아 사망 "
1154,백신 맞은후 사망 119명…누적 이상반응 2만1944건,"하루새 이상반응 409건↑…사망신고 3명
주요 이상반응 28건 추가 "
1155,[영상] 호주 매장 앞 긴 줄…한국 ‘○○○’ 브랜드 상륙 정체는? [언박싱],"‘트와이스 T’ 유명세 아크메드라비 “보자”
中이어 濠진출…K-패션 인기에 판매호조 기대 "
1156,"이더리움, 거래소에서 대규모 인출…‘큰손’ 움직였나 [인더머니]","기관투자자 활용 위해
제도금융권 수탁한 듯
유통량↓…가격 올릴 수 "
1157,"[영상]""하늘에서 비처럼 떨어지는 쥐떼"" 쥐 개체 수 증가에 호주 농가 시름",[서울경제 짤롱뉴스] 
1158,"[단독] 서울대, 1,300병상 규모 ‘노원서울대병원’ 건립 본격 추진","노원구 ‘바이오메디컬 클러스터’ 부지에 조성
기존 종로 서울대병원은 암 전문병원으로 특화
서울시 전향적인 판단에 사업 추진 운명 갈려
오세훈 시장은 공약으로 돔구장·쇼핑몰 제시 "
1159,중국서 어린 소녀 돌연 탈모…알고보니 '고양이 때문',중국 가정서 수천만마리 고양이 키워…반려동물 시장 급증 
1160,"머스크, 비트코인에 '폭탄 투하'한 뒤 도지코인 '띄우기'(종합)","""도지코인 거래 효율성 개선""…도지코인 21% 급등했다가 상승폭 줄어
'화석연료 급증 몰랐나' 비판에 책임회피성 답변…탄소세 부과도 주장
비트코인 소폭 상승해 5만달러 회복…이더리움은 약세 지속 "
1161,"머스크, 비트코인 결제중단 파문 하루 만에 '도지코인 띄우기'","""도지코인 거래 시스템 효율성 개선""…도지코인 가격 반등 "
1162,해외서 아기 낳아 쓰레기봉투에 버린 비정한 싱가포르 커플,출산 당시에는 살아있었던 것으로 당국 결론…탯줄·태반 그대로 
1163,"[단독] 친부 살해한 아들...""도와달라는 父 요청 뭉갠 경찰""","60살 강 모 씨, 자택 앞 화단에서 숨진 채 발견
유가족 ""경찰, 기민했다면 비극 막을 수 있었어""
강 씨, 숨지기 한 달 전 경찰 신고…""살해 위협""
강 씨, 아들 이상행동 우려…경찰, 문제없다 판단 "
1164,"""부작용 우려되는데 또 AZ?""...2차 접종 앞둔 30살 미만 반발","'혈전' 걱정에 2차 접종 망설이는 젊은이 많아
""부작용 걱정에 2차 접종 포기하기도""
군인·경찰 '화이자 혜택(?)' 논란도
정부, '이상 반응 적은 2차 접종' 적극 권고 "
1165,"사각팬티 입은 여자, 샤넬백 멘 남자…이 패션이 먹히는 이유","패션·문화계 남녀의 성벽 무너져
향수·제복도 성별 구분 지우는 중 "
1166,"김흥국 뺑소니 여부, 오토바이 사고 직후 이 모습에 달렸다",[이슈추적] 
1167,정인이 양부 “딸 생각해 구속만은…” 법정엔 야유가 터졌다,"양부는 징역 5년, 법정구속
“양모, 정인이 복부 두차례 이상 밟은 것으로 보여” "
